USB,LIESTAL,Aarau,Viollier,Madrid,MATCH
Colistin,,Colistin,CS-Colistin,Colistin,Colistin
Cotrimoxazol,Trimethoprim/Sulfamethoxazol,Cotrimoxazol,SXT-Trimethoprim/Sulfamethoxazol,Cotrimoxazol,Cotrimoxazol
Cotrimoxazol,Trimethoprim/Sulfamethoxazol,Trimethoprim-Sulfame,SXT-Trimethoprim/Sulfamethoxazol,Cotrimoxazol,Cotrimoxazol
,,,,Dalbavancin,Dalbavancin
Daptomycin,Daptomycin,Daptomycin,DAP-Daptomycin,Daptomycin,Daptomycin
,,,,Doripenem,Doripenem
,ESBL,,,,ESBL
Doxycyclin,,Doxycyclin,,Doxycyclin,Doxycyclin
Dummy,,,,,Dummy
Ertapenem,Ertapenem,Ertapenem,ETP-Ertapenem,Ertapenem,Ertapenem
Erythromycin,Erythromycin,Erythromycin,E-Erythromycin,Erythromycin,Erythromycin
,,Ethambutol,,,Ethambutol
,,Ethambutol 02.5,,,Ethambutol 2.0 mg/l
Ethambutol.5.0.mg.l,,Ethambutol 05.0,,,Ethambutol 5.0 mg/l
,,Ethambutol 07.5,,,Ethambutol 7.5 mg/l
,,Ethambutol 12.5,,,Ethambutol 12.5 mg/l
,,Ethambutol 50,,,Ethambutol 50
Fluconazol,,Fluconazol,,,Fluconazol
Fosfomycin.Trometamol,,,,,Fosfomycin
Fosfomycin,Fosfomycin,Fosfomycin,FOS-Fosfomycin,Fosfomycin,Fosfomycin
Fusidinsaeure,Fusidinsaeure,Fusidinsaeure,FA-Fusidins\xc3\xa4ure,Fusidinsaeure,Fusidinsaeure
Fusidinsaeure,Fusidinsaeure,Fusidins\xc3\xa4ure,FA-Fusidins\xc3\xa4ure,Fusidinsaeure,Fusidinsaeure
Fusidinsaeure,Fusidinsaeure,Fusidinsäure,FA-Fusidins\xc3\xa4ure,Fusidinsaeure,Fusidinsaeure
,,,,Gatifloxacin,Gatifloxacin
Gentamicin.High.level,Gentamicin High Level,,GHLR-High-Level-Resistenz gegen Gentamicin,,Gentamicin High Level
,,,"HLG-Gentamicin, High-Level (Synergie)",,"Gentamicin, High Level (Synergie)"
,,,"HLS-Streptomycin, High-Level (Synergie)",,"Streptomycin, High Level (Synergie)"
Gentamicin,Gentamicin,Gentamicin,GM-Gentamicin,Gentamicin,Gentamicin
Imipenem,Imipenem,Imipenem,IPM-Imipenem,Imipenem,Imipenem
Isavuconazol,,,,,Isavuconazol
,,Isoniazid,,,Isoniazid
Isoniazid.0.1.mg.l,,Isoniazid 0\t1 mg/l,,,Isoniazid 0.1 mg/l
Isoniazid.0.4.mg.l,,Isoniazid 0\t4 mg/l,,,Isoniazid 0.4 mg/l
,,Isoniazid 1.0 mg/l,,,Isoniazid 1.0 mg/l
,,Isoniazid 10  mg/l,,,Isoniazid 10  mg/l
,,Isoniazid 3.0 mg/l,,,Isoniazid 3.0 mg/l
Itraconazol,,Itraconazol,,,Itraconazol
,,Ketoconazol,,,Ketoconazol
Levofloxacin,Levofloxacin,Levofloxacin,LEV-Levofloxacin,Levofloxacin,Levofloxacin
Linezolid,Linezolid,Linezolid,LNZ-Linezolid,Linezolid,Linezolid
,,Linezolid 01 mg/l,,,Linezolid 01 mg/l
,,Linezolid 04 mg/l,,,Linezolid 04 mg/l
,,Linezolid 16 mg/l,,,Linezolid 16 mg/l
,MRSA,,,,MRSA
Meropenem.bei.Meningitis,,,,,Meropenem.bei.Meningitis
Meropenem.bei.Pneumonie,,,,,Meropenem.bei.Pneumonie
Meropenem.ohne.Meningitis,,,,,Meropenem.ohne.Meningitis
Meropenem,Meropenem,Meropenem,MEM-Meropenem,Meropenem,Meropenem
,,Meropenem-Vaborbacta,,,Meropenem-Vaborbacta
Metronidazol,Metronidazol,Metronidazol,,,Metronidazol
,,Miconazol,,,Miconazol
Micafungin,,,,,Micafungin
Minocyclin,Minocyclin,Minocyclin,,Minocyclin,Minocyclin
Moxifloxacin,,Moxifloxacin,MXF-Moxifloxacin,Moxifloxacin,Moxifloxacin
,,Moxifloxacin 0.5,,,Moxifloxacin 0.5
,,Moxifloxacin 02.5,,,Moxifloxacin 02.5
,,Moxifloxacin 10,,,Moxifloxacin 10
Mupirocin,Mupirocin,Mupirocin,MUP-Mupirocin,Mupirocin,Mupirocin
,,Nalidixinsaeure,,Nalidaxinsaeure,Nalidixinsaeure
Nitrofurantoin,Nitrofurantoin,Nitrofurantoin,FT-Nitrofurantoin,Nitrofurantoin,Nitrofurantoin
Norfloxacin,Norfloxacin,Norfloxacin,NOR-Norfloxacin,Norfloxacin,Norfloxacin
,,Novobiocin,,,Novobiocin
,,Ofloxacin,OFL-Ofloxacin,,Ofloxacin
Oxacillin,Oxacillin,Oxa/Flucloxacil.,OX1-Oxacillin,Oxacillin,Oxacillin
,,Pefloxacin,,,Pefloxacin
Penicillin.bei.anderen.Infekten,,,,,Penicillin.bei.anderen.Infekten
Penicillin.bei.Endokarditis,,,,,Penicillin.bei.Endokarditis
Penicillin.bei.Meningitis,,,,,Penicillin.bei.Meningitis
Penicillin.bei.Pneumonie,,,,,Penicillin.bei.Pneumonie
Penicillin.ohne.Endokarditis,,,,,Penicillin.ohne.Endokarditis
Penicillin.ohne.Meningitis,,,,,Penicillin.ohne.Meningitis
Penicillin,,Penicillin,,Penicillin,Penicillin
,,,PIP-Piperacillin],Piperacillin,Piperacillin
Piperacillin...Tazobactam,Piperacillin/Tazobactam,Piperacillin...Tazobactam,TZP-Piperacillin/Tazobactam,Piperacillin...Tazobactam,Piperacillin...Tazobactam
Piperacillin...Tazobactam,Piperacillin/Tazobactam,Piperacillin-Tazobac,TZP-Piperacillin/Tazobactam,Piperacillin...Tazobactam,Piperacillin...Tazobactam
,,,PT-Pristinamycin,Pristinamycine,Pristinamycine
,,Polymyxin.B,,,Polymyxin.B
,,Polymyxin B,,,Polymyxin.B
Posaconazol,,Posaconazol,,,Posaconazol
Pyrazinamid.100.0.mg.l,,Pyrazinamid 100\t0 mg,,,Pyrazinamid
,,Pyrazinamid,,,Pyrazinamid
,,Quinupristin-Dalfopr,QDA-Quinupristin/Dalfopristin,Quinupristin/dalfopristin,Quinupristin-Dalfopr
,,Rifabutin 0.1 mg/l,,,Rifabutin 0.1 mg/l
,,Rifabutin 0.4 mg/l,,,Rifabutin 0.4 mg/l
,,Rifabutin 2 mg/l,,,Rifabutin 2 mg/l
Rifampicin.1.0.mg.l,,Rifampicin 01.0 mg/l,,,Rifampicin.1.0.mg.l
Rifampicin,Rifampicin,Rifampicin,RA-Rifampicin,Rifampicin,Rifampicin
,,Rifampicin 02.0 mg/l,,,Rifampicin 2 mg/l
,,Rifampicin 04 mg/l,,,Rifampicin 4 mg/l
,,Rifampicin 20 mg/l,,,Rifampicin 20 mg/l
,,,SPX-Sparfloxacin,,Sparfloxacin
,,Roxithromycin,,,Roxithromycin
,,Spectinomycin,,,Spectinomycin
Streptomycin.1.0.mg.l,,Streptomycin,,,Streptomycin
Streptomycin.High.level,Strepomycin High Level,,,,Strepomycin High Level
Teicoplanin.GRD,,,,,Teicoplanin
Teicoplanin,Teicoplanin,Teicoplanin,TEC-Teicoplanin,Teicoplanin,Teicoplanin
Tetracyclin,Tetracyclin,Tetracyclin,TE-Tetracyclin,Tetracyclin,Tetracyclin
,,,TIC-Ticarcillin,Ticarcillin,Ticarcillin
Ticarcillin...Clavulansaeure,,Ticarcillin...Clavulansaeure,TCC-Ticarcillin/Clavulans\xc3\xa4ure,,Ticarcillin...Clavulansaeure
,,,TEL-Telithromycin,,TEL-Telithromycin
Tigecyclin,Tigecyclin,Tigecyclin,TGC-Tigecycline,Tigecyclin,Tigecyclin
Tobramycin,,Tobramycin,TM-Tobramycin,Tobramycin,Tobramycin
Vancomycin.GRD,,,,,Vancomycin
Vancomycin,Vancomycin,Vancomycin,VA-Vancomycin,Vancomycin,Vancomycin
Voriconazol,,Voriconazol,,,Voriconazol
X5.Fluorocytosin,,X5.Fluorocytosin,,,X5.Fluorocytosin
X5.Fluorocytosin,,5-Fluorocytosin,,,X5.Fluorocytosin
