68cf660d-2004-4daa-8006-e79b33ba80d6,( ++ ),( A ),Staphylococcus epidermidis,2.19,Staphylococcus epidermidis,2.11
86c6550e-6524-4651-87b3-33775b74eb8b,( ++ ),( A ),Staphylococcus capitis,2.18,Staphylococcus capitis,2.15
afbc9f50-559e-4dad-acf8-120c4a488e14,( +++ ),( C ),MIX!Enterococcus faecalis,2.62,Staphylococcus hominis,2.35
e4d8c2d7-a313-4036-b405-ae59a2a4eb51,( +++ ),( A ),Streptococcus constellatus,2.51,Streptococcus constellatus,2.02
e91db0cb-4e86-4c97-9935-b647307cfe96,( ++ ),( A ),Eikenella corrodens,2.14,Eikenella corrodens,2.07
ebcafe07-288e-445a-b88a-43bfb3dd2118,( - ),( C ),not reliable identification,1.34,not reliable identification,1.31
22637179-a22f-4dfe-8756-5393d4c9e387,( +++ ),( B ),Klebsiella pneumoniae,2.41,Klebsiella pneumoniae,2.4
3196636b-c61e-48c4-a228-a95cf5ad9f25,( +++ ),( B ),Klebsiella pneumoniae,2.3,Klebsiella pneumoniae,2.28
38cd8ab9-77b5-4795-ae00-44180113c9e9,( +++ ),( A ),Proteus mirabilis,2.4,Proteus mirabilis,2.24
404b5331-a539-4dcd-9122-afeea7071534,( +++ ),( B ),Klebsiella pneumoniae,2.33,Klebsiella pneumoniae,2.31
4264d30e-855c-411c-88f0-ba0abf23a1ae,( +++ ),( B ),Klebsiella pneumoniae,2.51,Klebsiella pneumoniae,2.41
428c1796-39f0-4664-b332-f3c72dcf0e1c,( +++ ),( B ),Klebsiella pneumoniae,2.39,Klebsiella pneumoniae,2.34
583762ac-34f8-434e-8aa8-be3e5fc782f3,( +++ ),( B ),Klebsiella pneumoniae,2.31,Klebsiella pneumoniae,2.28
7006f241-c5d0-47a9-9ea4-4230c8a5c1ec,( +++ ),( A ),Enterococcus faecalis,2.37,Enterococcus faecalis,2.37
7270dad1-7088-4ba3-bf16-844ed84af014,( +++ ),( B ),Klebsiella pneumoniae,2.45,Klebsiella pneumoniae,2.42
79997b4e-2432-49e3-84d0-da8b4d71404a,( +++ ),( A ),Proteus mirabilis,2.5,Proteus mirabilis,2.48
87bdf574-33a2-4c41-857c-c7e0f856ae1f,( ++ ),( B ),Streptococcus mitis,2.26,Streptococcus mitis,2.14
919f7dc0-02f2-4ecc-b33d-fe24ffe025b8,( +++ ),( A ),Escherichia coli,2.48,Escherichia coli,2.48
97c9469e-4714-4de3-832b-bdaa8132685d,( +++ ),( B ),Klebsiella pneumoniae,2.38,Klebsiella pneumoniae,2.35
a3cef8f5-c9d3-4141-b29d-21d6fff846ae,( +++ ),( A ),Escherichia coli,2.33,Escherichia coli,2.31
bd5ef7ef-4911-4e23-a379-f633d1207ec4,( +++ ),( A ),Enterococcus faecium,2.47,Enterococcus faecium,2.28
c99b6a5e-d233-458b-a224-fbbfdc8fa672,( ++ ),( B ),Citrobacter freundii,2.29,Citrobacter freundii,2.28
e8d6e9a5-3214-4cb1-a881-9f0c4e470f65,( +++ ),( A ),Streptococcus anginosus,2.44,Streptococcus anginosus,2.3
ed18a169-128e-4431-8fc2-92277c276042,( ++ ),( A ),Enterococcus faecalis,2.18,Enterococcus faecalis,2.17
400b6027-c9a2-4c39-818d-52b76b73755f,( +++ ),( A ),Corynebacterium striatum,2.44,Corynebacterium striatum,2.36
48103af4-1203-4042-a0fb-7156900fea92,( +++ ),( A ),Corynebacterium striatum,2.44,Corynebacterium striatum,2.41
4845069e-96fd-45e7-8a5f-5ecbe8d7cff2,( ++ ),( A ),Candida albicans,2.23,Candida albicans,2.19
5d944f3e-a081-4f80-b224-95cef851a533,( ++ ),( A ),Candida albicans,2.01,Candida albicans,2.01
6865d4fb-ca50-4148-ba5f-b27d953c2eac,( +++ ),( A ),Pseudomonas aeruginosa,2.5,Pseudomonas aeruginosa,2.26
b98ec33f-06ee-479c-8c3f-3b19f2cfaff1,( +++ ),( A ),Corynebacterium striatum,2.42,Corynebacterium striatum,2.36
bf38e68a-a7b7-4354-915f-a30ebe9ad551,( +++ ),( A ),Corynebacterium striatum,2.39,Corynebacterium striatum,2.36
e8e588ca-7465-4758-a517-a2251682bff2,( ++ ),( A ),Staphylococcus capitis,2.13,Staphylococcus capitis,2.12
137fa9e8-90c6-4a94-940b-a59b40ecf70d,( +++ ),( B ),Citrobacter freundii,2.3,Citrobacter freundii,2.2
18137284-5eb8-4b2d-beb7-3c39711107a1,( ++ ),( A ),Staphylococcus simulans,2.29,Staphylococcus simulans,2.29
20367a4d-3b15-4236-9176-e66ffa35bf76,( ++ ),( A ),Citrobacter freundii,2.18,Citrobacter freundii,2.18
23a4f142-24c8-40ec-83a4-a65fc1539f39,( +++ ),( A ),Escherichia coli,2.42,Escherichia coli,2.32
28431495-283c-4851-ab77-4e21fef0814e,( +++ ),( A ),Pseudomonas aeruginosa,2.42,Pseudomonas aeruginosa,2.24
34533c18-f949-4b1c-b4b2-b00fde3d285c,( ++ ),( A ),Actinomyces radingae,2.17,Actinomyces radingae,2.02
38248dec-fe18-47f8-bb6e-e18f20829ae7,( + ),( B ),Actinotignum schaalii,1.9,Actinotignum schaalii,1.86
38c2b147-7796-40f7-9168-2fdf49583ce8,( +++ ),( B ),Citrobacter freundii,2.38,Citrobacter freundii,2.31
39177b7c-baf6-4ec3-887b-db1e07e22643,( +++ ),( A ),Streptococcus agalactiae,2.3,Streptococcus agalactiae,2.29
430d03ad-d777-4bdd-84b9-5090aa870dba,( +++ ),( A ),Pseudomonas aeruginosa,2.33,Pseudomonas aeruginosa,2.22
44d70a61-ee87-4f72-9421-fb6cb1026610,( + ),( B ),Candida albicans,1.75,Candida albicans,1.72
64fe4b1d-405f-4e90-8b9d-1a74d39f7099,( +++ ),( B ),Klebsiella pneumoniae,2.47,Klebsiella pneumoniae,2.45
78aae458-464f-401f-a518-31652054e3af,( ++ ),( A ),Staphylococcus caprae,2.23,Staphylococcus caprae,2.15
7fba4759-2027-4caf-a834-c68b1e4c725e,( - ),( C ),not reliable identification,1.34,not reliable identification,1.32
86d80ad0-11a1-4656-868e-0f9feefe55fa,( +++ ),( A ),Staphylococcus aureus,2.32,Staphylococcus aureus,2.3
9c462c11-0d50-4a35-bcb1-759dc5e7dd46,( ++ ),( A ),Staphylococcus aureus,2.25,Staphylococcus aureus,2.24
ab6d00d0-f8df-45e1-a393-3281562b138c,( +++ ),( A ),Staphylococcus aureus,2.34,Staphylococcus aureus,2.32
ad7fc2f8-0099-4466-bf10-959f4907bb2d,( ++ ),( B ),Enterobacter asburiae,2.15,Enterobacter cloacae,2.13
ae1d26ee-6ba5-4578-9f6f-25459e1b68de,( +++ ),( A ),MIX!Bifidobacterium breve,2.41,Bifidobacterium breve,2.41
af89e5f5-ec3a-4932-af07-b546b4f6d480,( +++ ),( A ),Enterococcus faecalis,2.42,Enterococcus faecalis,2.35
b2e13603-d03d-432f-a017-9a4f9f73f2d5,( +++ ),( A ),Escherichia coli,2.5,Escherichia coli,2.48
b88088fc-6d62-424f-aa61-61967efffbeb,( ++ ),( B ),Enterobacter cloacae,2.26,Enterobacter asburiae,2.12
be06b5a5-43d9-4448-b3c3-c877d45ea761,( +++ ),( A ),Staphylococcus aureus,2.39,Staphylococcus aureus,2.36
c00fd6e1-9abe-4fe2-bd16-089a27484d1e,( ++ ),( A ),Escherichia coli,2.28,Escherichia coli,2.25
cc2fb489-8a75-4657-a9ca-76f24ca35ce2,( +++ ),( A ),Escherichia coli,2.33,Escherichia coli,2.33
da742f85-ce57-439b-94e6-9033b6dcf78d,( ++ ),( A ),Staphylococcus warneri,2.24,Staphylococcus warneri,2.17
dc55b39e-a1da-4874-874d-3b67736e0de0,( +++ ),( A ),Enterococcus faecium,2.47,Enterococcus faecium,2.33
e37ac34b-a8f3-4e73-86ed-4ae7d79ce515,( ++ ),( A ),Staphylococcus epidermidis,2.21,Staphylococcus epidermidis,2.11
f57031f8-456b-46c7-9e57-fcdd47ff5afa,( ++ ),( B ),Enterobacter cloacae,2.25,Enterobacter cloacae,2.17
f8759f33-82a2-49c7-9d84-d7ad49ba0a53,( +++ ),( A ),Escherichia coli,2.45,Escherichia coli,2.37
54f1adaa-7aa4-4b52-adf2-ca53b556e053,( ++ ),( A ),Staphylococcus epidermidis,2.01,Staphylococcus epidermidis,1.92
0871268a-8948-4458-af98-7d88690c038f,( ++ ),( A ),Staphylococcus epidermidis,2.27,Staphylococcus epidermidis,2.12
0db976b1-ef0c-4bad-b497-bba9121c9203,( ++ ),( A ),Candida glabrata,2.22,Candida glabrata,2.12
19d00653-46e4-4160-81ff-0cc46ef626be,( +++ ),( B ),Neisseria subflava,2.44,Neisseria subflava,2.39
1a482f48-395a-4e04-9e09-38751716174d,( + ),( B ),Streptococcus pneumoniae,1.95,Streptococcus infantis,1.93
1a71d4d2-64fe-4bf2-b8fe-61e03808b234,( +++ ),( A ),MIX!Enterobacter cloacae,2.47,Enterobacter cloacae,2.43
1dd5aed0-daac-44ea-b4c8-77c0a644f983,( +++ ),( B ),Enterobacter cloacae,2.38,Enterobacter cloacae,2.31
1fdf6934-1d0b-4827-bdbf-dc17cfba3cf8,( ++ ),( A ),Escherichia coli,2.06,Escherichia coli,1.98
2188c592-79d9-4312-8adf-023b0e909cd5,( ++ ),( A ),Haemophilus parainfluenzae,2.26,Haemophilus parainfluenzae,2.18
32ce782f-ea00-4216-865d-dc80e16d6a9f,( ++ ),( A ),Staphylococcus epidermidis,2.16,Staphylococcus epidermidis,2.13
391f31bb-160a-4e72-8d00-38898a48d950,( +++ ),( A ),Staphylococcus aureus,2.44,Staphylococcus aureus,2.38
3ab94d26-2c13-45d4-b385-401f43bcea9d,( +++ ),( A ),Escherichia coli,2.38,Escherichia coli,2.36
3c51d068-0163-44d2-8bf5-dec902bfe7fc,( ++ ),( A ),Staphylococcus warneri,2.09,Staphylococcus warneri,2.06
3f36695e-9453-44cf-91bb-d9154bbd87be,( ++ ),( A ),Staphylococcus epidermidis,2.05,Staphylococcus epidermidis,1.92
40563f22-26e9-48a2-a37d-3e691102d6fa,( +++ ),( A ),Enterococcus faecalis,2.43,Enterococcus faecalis,2.4
4426ab91-4a4a-4300-afb5-7035548368c9,( +++ ),( B ),MIX!Enterobacter cloacae,2.45,Enterobacter cloacae,2.42
49e83801-7c0b-4907-9081-c067a2d2b031,( +++ ),( A ),Morganella morganii,2.38,Morganella morganii,2.37
50c9e5af-1ad8-4acf-8a28-0fafafad4fab,( +++ ),( A ),Haemophilus parainfluenzae,2.36,Haemophilus parainfluenzae,2.31
544b95c4-75fb-414c-ab5d-4fea4ba3cadb,( ++ ),( A ),Staphylococcus epidermidis,2.16,Staphylococcus epidermidis,2.15
5ef96f32-2e56-4987-9eb0-3db784b998a2,( +++ ),( A ),MIX!Streptococcus parasanguinis,2.5,Streptococcus parasanguinis,2.27
6fef4731-9705-4388-b908-4773b703a2ae,( +++ ),( A ),Proteus mirabilis,2.43,Proteus mirabilis,2.38
709a20c5-07c2-4bfb-92d3-bfd6d485f3bd,( ++ ),( A ),Staphylococcus epidermidis,2.2,Staphylococcus epidermidis,2.18
750c0508-3757-46a9-b836-64d946988300,( + ),( B ),Streptococcus mitis,1.89,Streptococcus mitis,1.89
7cec8d3b-c48b-43ba-8b2e-384db365b6b4,( ++ ),( A ),Staphylococcus capitis,2.14,Staphylococcus capitis,2.1
7cfa5233-03f5-4096-a6f4-5eeb708403c5,( ++ ),( A ),Staphylococcus epidermidis,2.21,Staphylococcus epidermidis,2.12
81872fa2-56d7-4fea-8bcb-a19252e7b153,( +++ ),( B ),Enterobacter cloacae,2.41,Enterobacter cloacae,2.4
82fbb66e-3c5f-48dd-9e57-4d4603ea5f85,( +++ ),( A ),Lactobacillus rhamnosus,2.41,Lactobacillus rhamnosus,2.35
87251298-974b-4392-a6e6-9af0389d6a90,( ++ ),( A ),Staphylococcus capitis,2.14,Staphylococcus capitis,2.12
87ef2f02-d2ef-4245-b837-19e161f9939f,( ++ ),( A ),Staphylococcus epidermidis,2.15,Staphylococcus epidermidis,2.12
91564d82-cd30-4ee3-a9a7-f1ac93653076,( +++ ),( A ),Lactobacillus rhamnosus,2.39,Lactobacillus rhamnosus,2.39
9b1a9bf3-7b6e-4db9-a818-7347b88511ae,( - ),( C ),not reliable identification,1.45,not reliable identification,1.23
9d27eb09-ef11-4770-9204-0417c24910e7,( ++ ),( A ),Actinomyces odontolyticus,2.23,Actinomyces odontolyticus,2.17
9f87fa8c-74c6-434d-9193-cc3a7c7db4d4,( - ),( C ),not reliable identification,1.21,not reliable identification,1.03
ad60c05c-f8c6-4940-8493-7ae2983ba0cc,( ++ ),( A ),Staphylococcus epidermidis,2.16,Staphylococcus epidermidis,2.09
b58e7c04-96af-4811-8384-a9622a227323,( +++ ),( A ),Streptococcus anginosus,2.37,Streptococcus anginosus,2.36
c495a677-b89e-48e2-a76a-6184469f3a27,( ++ ),( A ),Escherichia coli,2.28,Escherichia coli,2.24
c4a993c4-d8bb-4beb-8969-0e55a48c5a7a,( +++ ),( A ),Staphylococcus aureus,2.35,Staphylococcus aureus,2.27
d2157d8d-e761-45f8-8143-11069cd1fdcc,( +++ ),( A ),MIX!Staphylococcus aureus,2.51,Staphylococcus aureus,2.33
db4bfe3c-51a3-426f-bf16-ab7f8e30f63f,( ++ ),( A ),Streptococcus mutans,2.11,Streptococcus mutans,1.95
e322a975-3195-4f3e-a025-2ea3aaff8110,( +++ ),( A ),Escherichia coli,2.44,Escherichia coli,2.37
ebcbd831-3221-4a55-b73a-81b25ba11236,( ++ ),( A ),Candida albicans,2.12,Candida albicans,2.1
f18b6605-c8fc-4dec-8ca8-2c65dd12fedc,( +++ ),( C ),MIX!Candida dubliniensis,2.57,Candida dubliniensis,2.55
fb51d5db-7e77-4354-a63c-6187c4a21e63,( ++ ),( A ),Staphylococcus epidermidis,2.15,Staphylococcus epidermidis,2.15
fbc6caff-5b8e-4bd2-80b4-197f0da7e9c6,( +++ ),( B ),Enterobacter cloacae,2.39,Enterobacter cloacae,2.33
ff67145d-fa69-465c-aa75-eb288367d7ee,( +++ ),( A ),Escherichia coli,2.46,Escherichia coli,2.4
369ca341-7d9e-4b91-8713-5c44dd2d68ad,( ++ ),( A ),Lactobacillus delbrueckii,2.03,Lactobacillus delbrueckii,1.86
477d28a5-0359-4f79-a7bc-b273d463f8d9,( ++ ),( A ),Staphylococcus epidermidis,2.16,Staphylococcus epidermidis,2.09
6b01fe25-0571-4f56-9cd5-3571242ced5c,( +++ ),( A ),Pseudomonas aeruginosa,2.38,Pseudomonas aeruginosa,2.28
6fe5176f-00df-46c2-91de-93e3ac9c7ae3,( +++ ),( B ),Klebsiella pneumoniae,2.35,Klebsiella pneumoniae,2.34
9a544cdc-e55e-4f22-8c3c-00147019338f,( +++ ),( A ),Staphylococcus hominis,2.33,Staphylococcus hominis,2.29
9a7a41f8-f7fa-4b8f-b05d-c3a2774754e5,( +++ ),( A ),Streptococcus anginosus,2.37,Streptococcus anginosus,2.34
d2f5c7e8-7498-4b46-b7d5-ca5fbe45c9ac,( +++ ),( A ),Streptococcus agalactiae,2.3,Streptococcus agalactiae,2.27
dac373b6-ca04-4a12-b8a3-6cdba0c07a33,( +++ ),( A ),Klebsiella pneumoniae,2.41,Klebsiella pneumoniae,2.35
f6ccaa63-c848-43a0-b1fa-05f507707b7c,( +++ ),( A ),Pseudomonas aeruginosa,2.43,Pseudomonas aeruginosa,2.35
5a4730c4-8cfe-4faf-a520-42a489817a3b,( + ),( B ),Porphyromonas uenonis,1.79,not reliable identification,1.6
ccf08e87-ae29-4263-8c64-d07850c5e81b,( ++ ),( A ),Anaerococcus vaginalis,2.15,Anaerococcus vaginalis,2.09
56aa5929-2490-4b53-ae9d-839f0c37e46b,( + ),( B ),Staphylococcus aureus,1.86,not reliable identification,1.62
87a3ac83-be35-4094-95c1-9f1c7fd9450a,( - ),( C ),not reliable identification,1.67,not reliable identification,1.61
d591ff8d-0747-457e-892f-961ae17b5534,( + ),( B ),Stenotrophomonas maltophilia,1.96,Stenotrophomonas maltophilia,1.95
006fe87e-2291-44d2-9bde-08e092b1ace4,( +++ ),( A ),Pseudomonas aeruginosa,2.36,Pseudomonas aeruginosa,2.28
023ddae1-4766-4af4-8733-45424ccd7273,( +++ ),( A ),Escherichia coli,2.33,Escherichia coli,2.26
026531e5-7000-4fee-a051-bd9146be880a,( +++ ),( A ),Streptococcus anginosus,2.36,Streptococcus anginosus,2.36
05bca8da-5bb0-48a3-a978-fee9ca0ad3d3,( +++ ),( A ),Pseudomonas aeruginosa,2.39,Pseudomonas aeruginosa,2.28
128a225b-eda7-4a90-a5ac-7e66e415cf46,( +++ ),( A ),Escherichia coli,2.33,Escherichia coli,2.32
1542488f-a417-4d5f-9880-0bd85221034e,( +++ ),( A ),Pseudomonas aeruginosa,2.46,Pseudomonas aeruginosa,2.41
17e6cd3e-9e44-42e0-899d-fc7ee6264064,( +++ ),( A ),Enterococcus faecalis,2.3,Enterococcus faecalis,2.28
28a6f7b4-726e-41bf-974b-51b5ada138f6,( +++ ),( A ),Pseudomonas aeruginosa,2.41,Pseudomonas aeruginosa,2.34
3c17f9a9-a56d-4dea-886f-368379e405b6,( +++ ),( B ),Achromobacter xylosoxidans,2.36,Achromobacter xylosoxidans,2.3
4a507fd5-749f-4a95-92df-7709163ac4cd,( +++ ),( A ),Klebsiella variicola,2.45,Klebsiella variicola,2.39
4b943d7b-9d64-4f3a-9e13-7a74044f0bc1,( +++ ),( A ),Pseudomonas aeruginosa,2.51,Pseudomonas aeruginosa,2.4
517e657a-8dfd-4d89-8d2b-cb2aade1c383,( ++ ),( A ),Staphylococcus capitis,2.24,Staphylococcus capitis,2.17
68341ab5-0415-4ba6-a368-726fe95d3da5,( +++ ),( B ),Klebsiella pneumoniae,2.46,Klebsiella pneumoniae,2.45
68c92a54-0c65-48f0-84b1-f2d531df396b,( +++ ),( A ),Klebsiella variicola,2.46,Klebsiella variicola,2.46
72899666-9027-486d-93bf-405e6ab29aa6,( ++ ),( A ),Bacillus simplex,2.13,Bacillus sp,1.85
78c57bd4-8b9b-4a91-a5cb-9fabe7a63404,( +++ ),( A ),Streptococcus anginosus,2.34,Streptococcus anginosus,2.33
80b07665-78de-427a-8993-737ee2034f9d,( +++ ),( A ),Streptococcus anginosus,2.44,Streptococcus anginosus,2.41
80efc962-a3bd-4f05-841e-608dad656540,( ++ ),( A ),Staphylococcus lugdunensis,2.19,Staphylococcus lugdunensis,2.11
81035d1e-265e-48cb-b77d-fc3b71e9d3d5,( +++ ),( A ),Escherichia coli,2.5,Escherichia coli,2.4
86389b9e-cca5-490e-99f1-6bdabb6cb1fa,( +++ ),( B ),Klebsiella pneumoniae,2.43,Klebsiella pneumoniae,2.42
8fc0844a-2226-4b28-a3d4-045a32cf5742,( ++ ),( A ),Streptococcus anginosus,2.21,Streptococcus anginosus,2.09
ab61c13f-67ed-4566-9739-a9c211cd011e,( +++ ),( A ),Streptococcus anginosus,2.4,Streptococcus anginosus,2.36
ab6b98dd-d76a-4ae5-8b59-030d1f8efc6c,( ++ ),( A ),Staphylococcus epidermidis,2.02,Staphylococcus epidermidis,1.89
ac10db6d-4844-44de-84eb-2b5954a61551,( +++ ),( B ),Klebsiella pneumoniae,2.43,Klebsiella pneumoniae,2.41
b04def74-7eaf-4be8-b297-b319e455fd8b,( +++ ),( A ),Actinomyces turicensis,2.46,Actinomyces turicensis,2.42
b04fe4a0-064d-4345-9ff3-641841e933fb,( +++ ),( B ),Klebsiella pneumoniae,2.43,Klebsiella pneumoniae,2.38
c3ac6fd2-6b5b-481a-b8d8-42acc030201c,( +++ ),( A ),Pseudomonas aeruginosa,2.35,Pseudomonas aeruginosa,2.34
c3f33e77-98b6-44f4-9965-c82ed456bd1a,( +++ ),( B ),Klebsiella pneumoniae,2.5,Klebsiella pneumoniae,2.42
c543da3a-e81c-4682-aebb-76da2a7b4bd6,( +++ ),( C ),MIX!Enterococcus faecalis,2.54,Enterococcus faecalis,2.52
d704137d-b091-4c00-95e1-c63fc903c4bf,( +++ ),( A ),MIX!Enterococcus faecalis,2.44,Enterococcus faecalis,2.42
dca367b6-9b61-496c-b63a-06161fcac68d,( +++ ),( B ),Klebsiella pneumoniae,2.43,Klebsiella pneumoniae,2.41
