2017-11-08T14-31-58,( - ),( C ),no peaks found,<0, no peaks found,<0
da139ae1-544c-4b08-a0a0-c68f1352256d,( ++ ),( A ),Staphylococcus aureus,2.25,Staphylococcus aureus,2.22
dff258b1-76a4-4111-8ea5-d102d62eaf30,( +++ ),( B ),MIX!Corynebacterium minutissimum,2.37,Corynebacterium aurimucosum,2.19
eb2d29fa-bc2b-4242-832e-b3d3507359ae,( ++ ),( A ),Streptococcus dysgalactiae,2.23,Streptococcus dysgalactiae,2.13
f33dcb87-dc0f-4fd5-bf8b-115f69c2d0d4,( ++ ),( A ),Streptococcus constellatus,2.07,Streptococcus constellatus,2.06
f4fbd494-6593-4d10-91a3-d1be23b35fc5,( +++ ),( A ),Streptococcus dysgalactiae,2.31,Streptococcus dysgalactiae,2.27
fe37b84c-b24d-474e-8177-f26a30d5fadd,( ++ ),( A ),Streptococcus minor,2.24,Streptococcus minor,2.12
0159ca36-36b3-4062-8846-2a589fa691c0,( +++ ),( A ),Pseudomonas aeruginosa,2.5,Pseudomonas aeruginosa,2.38
4bb9d162-e1b8-42e8-b667-5400b7e7bf21,( +++ ),( A ),Pseudomonas aeruginosa,2.41,Pseudomonas aeruginosa,2.39
4e870502-a692-4121-8cf0-5fa10311929c,( - ),( C ),not reliable identification,1.58,not reliable identification,1.39
692a696a-9710-45a4-8c06-afd3d0ff4a5b,( ++ ),( A ),Streptococcus oralis,2.1,Streptococcus oralis,2.04
6ecb5987-4a44-4bb8-b17c-ee0fbc1d0632,( ++ ),( A ),Streptococcus oralis,2.07,Streptococcus oralis,2
6f7bb32b-ebc7-40f4-887c-2acf93051358,( ++ ),( A ),Staphylococcus epidermidis,2.03,Staphylococcus epidermidis,1.93
6fb93b12-67c2-410a-8105-5f9dd22a0edd,( +++ ),( A ),Pseudomonas aeruginosa,2.46,Pseudomonas aeruginosa,2.35
770279a9-4995-4454-bd9c-8e9acdd89672,( +++ ),( A ),Pseudomonas aeruginosa,2.45,Pseudomonas aeruginosa,2.33
7785eca8-c01c-413a-8e33-8d99d9809650,( - ),( C ),no peaks found,<0, no peaks found,<0
7a15ff94-438a-49fe-9d7e-8990aea60ae5,( +++ ),( A ),Pseudomonas aeruginosa,2.58,Pseudomonas aeruginosa,2.41
7d73a5a6-baf9-4598-a69f-e799d6a5fb65,( ++ ),( A ),Streptococcus oralis,2.21,Streptococcus oralis,2.04
800fc155-e544-4319-a7c5-3d29a4d21f50,( ++ ),( A ),Streptococcus oralis,2.14,Streptococcus oralis,2.09
8b59eea1-c685-4231-b995-5eefd9166c75,( + ),( B ),Streptococcus oralis,1.96,Streptococcus oralis,1.92
8b982843-eeb4-430e-8aa3-554de6c09ff8,( +++ ),( A ),Pseudomonas aeruginosa,2.47,Pseudomonas aeruginosa,2.33
8e8f46a2-877b-4dfe-97b0-1b7b3b333d6d,( ++ ),( A ),Pseudomonas aeruginosa,2.23,Pseudomonas aeruginosa,2.23
ae1e81d7-29ed-42fe-a099-900d7c07ed5a,( - ),( C ),not reliable identification,1.6,not reliable identification,1.59
b0ba21da-082f-488f-aac0-c58bbd00ea4b,( +++ ),( A ),Pseudomonas aeruginosa,2.38,Pseudomonas aeruginosa,2.28
b46d9657-c24a-4208-bb9a-f9b57d3cf1e7,( - ),( C ),no peaks found,<0, no peaks found,<0
baf30bfe-861b-4cb8-9700-547daf9579fa,( +++ ),( A ),Pseudomonas aeruginosa,2.52,Pseudomonas aeruginosa,2.4
c4fabb62-7ea0-4d7e-9833-9e203191d717,( - ),( C ),not reliable identification,1.48,not reliable identification,1.39
d8f93fda-3d1a-4ee2-9ea1-2dc6499d89fd,( ++ ),( A ),Pseudomonas aeruginosa,2.25,Pseudomonas aeruginosa,2.23
e880d75f-7cca-47dc-aa57-e58d883cc749,( ++ ),( A ),Staphylococcus epidermidis,2.18,Staphylococcus epidermidis,2.15
fc695f12-ba48-4341-a3d0-a2b3562eb8c5,( +++ ),( A ),Pseudomonas aeruginosa,2.47,Pseudomonas aeruginosa,2.34
2e9d70b4-d0ca-42e5-ae24-8166ef532e93,( +++ ),( A ),Lactobacillus rhamnosus,2.45,Lactobacillus rhamnosus,2.38
3dc2e851-e9dc-4746-86cc-9456fe417856,( + ),( B ),Gardnerella vaginalis,1.89,Gardnerella vaginalis,1.81
53648bcc-5442-46ee-9faa-45eee6203959,( +++ ),( A ),Lactobacillus rhamnosus,2.36,Lactobacillus rhamnosus,2.33
57d6a8c2-241a-4bfe-a577-342330135a2a,( +++ ),( A ),Streptococcus agalactiae,2.41,Streptococcus agalactiae,2.39
645a5d21-08e0-440f-9b71-013d73b77f5d,( +++ ),( A ),Staphylococcus aureus,2.33,Staphylococcus aureus,2.31
70717845-fa6c-42b7-a888-a7a81132e6ff,( - ),( C ),not reliable identification,1.42,not reliable identification,1.38
b641c3a8-f9f8-4325-be1c-c767c288d741,( - ),( C ),no peaks found,<0, no peaks found,<0
c1750380-b0c0-4f28-9984-3210255697a2,( ++ ),( B ),Streptococcus oralis,2.2,Streptococcus oralis,2.13
dd6ca391-3915-409c-81f9-e577fc46c449,( - ),( C ),not reliable identification,1.14,not reliable identification,1.13
fd0cb055-faa0-49ce-8628-186ed038459c,( +++ ),( A ),Streptococcus agalactiae,2.38,Streptococcus agalactiae,2.29
0b0b2b6f-90ae-453b-a125-46dc71f03fd3,( + ),( B ),Corynebacterium accolens,1.94,Corynebacterium accolens,1.93
0db5454a-921d-4ddb-a780-b7b726f410c7,( ++ ),( A ),Corynebacterium propinquum,2.17,Corynebacterium propinquum,2.16
1094df32-b546-4298-a6bc-052c0b02d060,( +++ ),( A ),Haemophilus influenzae,2.43,Haemophilus influenzae,2.41
124177c4-a3a8-4f19-a239-077b25dcd602,( +++ ),( A ),Proteus mirabilis,2.53,Proteus mirabilis,2.45
17fdddaf-a23e-401e-8edd-2c67c326754a,( +++ ),( B ),Streptococcus oralis,2.31,Streptococcus oralis,2.21
283588a6-4c74-450f-8b05-b40ffec759e7,( +++ ),( A ),Staphylococcus aureus,2.47,Staphylococcus aureus,2.39
2a513a58-f5fd-40c4-b41e-68ef31488e5a,( +++ ),( A ),Escherichia coli,2.46,Escherichia coli,2.42
2cbb6756-a314-4768-8971-9bf839009c18,( +++ ),( A ),Proteus mirabilis,2.55,Proteus mirabilis,2.42
3f0e43e0-92c8-42a6-be52-b30447e3a123,( ++ ),( A ),Pseudomonas aeruginosa,2.24,Pseudomonas aeruginosa,2.17
3f693f0f-8062-487b-a531-23116beb39a1,( - ),( C ),not reliable identification,1.04,not reliable identification,1.03
46b7e9bf-25c0-4261-a75b-da33b116c456,( +++ ),( A ),Staphylococcus aureus,2.45,Staphylococcus aureus,2.4
4952a663-45b0-4ba6-b817-2db184dcc05c,( + ),( B ),Streptococcus mitis,1.86,Streptococcus mitis,1.77
4dbbd581-aaf7-4361-af15-ea190c24d87d,( +++ ),( B ),Klebsiella pneumoniae,2.4,Klebsiella pneumoniae,2.39
4dfabdf2-6d78-46c1-8e97-6ca053aa56af,( +++ ),( A ),Escherichia coli,2.53,Escherichia coli,2.45
538e5847-aa1c-4521-91db-c791fd6fddf9,( + ),( B ),Streptococcus parasanguinis,1.84,Streptococcus parasanguinis,1.84
5647df62-1a2e-4993-86bd-0fd2bc6edf02,( ++ ),( A ),Staphylococcus epidermidis,2.26,Staphylococcus epidermidis,2.15
598ab80b-5839-49f3-b788-85d3c0582570,( +++ ),( A ),Escherichia coli,2.54,Escherichia coli,2.49
606e557c-8d68-4da8-8cdd-f03def8510e4,( +++ ),( A ),Proteus mirabilis,2.59,Proteus mirabilis,2.51
615fcb32-4d0e-4dc5-9f2b-18fec73c446b,( ++ ),( B ),Streptococcus oralis,2.27,Streptococcus oralis,2.23
62181943-76bd-48cc-a872-8131041f4d5b,( +++ ),( A ),Escherichia coli,2.51,Escherichia coli,2.36
7bd34ccf-81dc-4ad8-b6a2-41e1c7946ee4,( +++ ),( A ),Escherichia coli,2.47,Escherichia coli,2.46
7cd9c1d1-5d3f-47b8-a00f-ffe7317da752,( +++ ),( C ),MIX!Corynebacterium propinquum,2.54,Corynebacterium propinquum,2.53
83309a59-66ad-411a-a387-78e7d0227352,( ++ ),( A ),Staphylococcus epidermidis,2.01,Staphylococcus epidermidis,1.93
86196742-da20-48f1-8c4a-7961aeae82dd,( +++ ),( A ),Corynebacterium pseudodiphtheriticum,2.49,Corynebacterium pseudodiphtheriticum,2.43
8855d981-148c-479b-8a8b-e26c72982477,( ++ ),( A ),Staphylococcus haemolyticus,2.15,Staphylococcus haemolyticus,2.1
88c402d2-4f3e-4158-85eb-f5e35b59c719,( ++ ),( A ),Staphylococcus haemolyticus,2.01,Staphylococcus haemolyticus,1.91
92308e72-82db-4709-b4aa-e31237146e8f,( +++ ),( A ),Escherichia coli,2.42,Escherichia coli,2.37
96671916-7ff7-4bab-bcdb-ee114f07ff44,( + ),( B ),Streptococcus parasanguinis,1.8,Streptococcus parasanguinis,1.78
a0b56dbe-7097-46af-aa2d-5a0e1f5814a1,( ++ ),( A ),Staphylococcus haemolyticus,2.04,Staphylococcus haemolyticus,1.88
a3e5e74a-061f-4871-b9bc-a22945138286,( + ),( B ),Streptococcus pneumoniae,1.94,Streptococcus oralis,1.92
a564409a-b5db-4553-bec4-49a10abe316e,( +++ ),( B ),Enterobacter cloacae,2.34,Enterobacter cloacae,2.23
aa38de80-e72f-4587-9b23-657ae8a9d2a5,( - ),( C ),not reliable identification,1.69,not reliable identification,1.61
b26929cc-b7d7-4f27-9b52-143dc24b59f9,( +++ ),( A ),Staphylococcus hominis,2.44,Staphylococcus hominis,2.4
b2756ae4-d346-418b-abc4-1ffc10fa2fcc,( ++ ),( A ),Lactobacillus reuteri,2.09,Lactobacillus reuteri,2.08
b300b03d-bdb9-442b-949f-7c72fc5459e6,( +++ ),( C ),MIX!Streptococcus salivarius,2.51,Granulicatella adiacens,2.45
b55c6040-dcb3-454f-a0bc-5862fcbee3cf,( +++ ),( A ),Haemophilus influenzae,2.45,Haemophilus influenzae,2.36
ba3c762a-2973-4739-ada5-b8864d546777,( ++ ),( A ),Pseudomonas aeruginosa,2.24,Pseudomonas aeruginosa,2.1
bf055f04-60a6-470e-867a-a8e03d2e5aab,( +++ ),( A ),Escherichia coli,2.47,Escherichia coli,2.4
c256478f-9c03-4079-a1fc-b732fe2e05da,( ++ ),( A ),Candida tropicalis,2.06,Candida tropicalis,1.97
c292c6be-6543-4bd8-8e6a-e48e58dd90f9,( +++ ),( B ),Klebsiella pneumoniae,2.41,Klebsiella pneumoniae,2.37
c69c0897-dabd-492c-a160-f917ece7df52,( ++ ),( B ),Streptococcus mitis,2.22,Streptococcus mitis,2.17
c7a86136-8cd5-4248-90a7-a4c26e8a1baa,( ++ ),( A ),Escherichia coli,2.19,Escherichia coli,2.13
cfbe780c-b39c-4d89-aff5-51457dc72a5f,( - ),( C ),not reliable identification,1.28,not reliable identification,1.27
d66a39ea-fe23-4611-8160-28453c1f5547,( +++ ),( A ),Pseudomonas aeruginosa,2.31,Pseudomonas aeruginosa,2.29
d7bc7dfb-46cd-43e7-aac4-fb4732f81ae6,( +++ ),( A ),Streptococcus sanguinis,2.4,Streptococcus sanguinis,2.39
df7fc578-cfc8-4a83-8b11-39dad81affe6,( ++ ),( A ),Candida tropicalis,2.11,Candida tropicalis,1.98
ea7fb228-6d08-4709-a24d-50f20cae5cd4,( ++ ),( A ),Staphylococcus capitis,2.08,Staphylococcus capitis,2.03
f564ea98-59fd-475b-8e53-3d4cc0f84aa2,( +++ ),( A ),Proteus mirabilis,2.61,Proteus mirabilis,2.48
fa037e64-bc76-4e4d-bf45-a5bd626ba376,( +++ ),( A ),MIX!Streptococcus salivarius,2.45,Streptococcus salivarius,1.88
fb17e23c-25b5-49dc-8d78-38839bd5220e,( ++ ),( A ),Staphylococcus capitis,2.13,Staphylococcus capitis,2.05
0576773e-c2da-4a18-928b-31d5bd4779f9,( - ),( C ),not reliable identification,1.33,not reliable identification,1.29
05fd6344-29bf-41ef-9476-b5d0792fa5a0,( +++ ),( B ),Klebsiella pneumoniae,2.46,Klebsiella pneumoniae,2.41
1dc35ac7-39fd-4dfa-9f47-4110aaec2491,( - ),( C ),not reliable identification,1.33,not reliable identification,1.31
2157be44-d6fc-405c-a1d4-6818b2d8db9f,( ++ ),( A ),Clostridium difficile,2.05,Clostridium difficile,1.99
5369ab25-9cba-4bf6-b2b7-a041cb8c55fb,( - ),( C ),not reliable identification,1.22,not reliable identification,1.2
7bf3342f-b1c3-4739-a18f-7434053cf8e9,( ++ ),( A ),Staphylococcus hominis,2.08,Staphylococcus hominis,2.03
c791cf27-c8a1-4a75-8e58-6efb6c96416b,( +++ ),( B ),Klebsiella pneumoniae,2.47,Klebsiella pneumoniae,2.44
d43968f5-8896-429f-8cda-a3a10d129c13,( +++ ),( A ),Escherichia coli,2.45,Escherichia coli,2.34
d4f9c61d-ff4f-4346-abbd-b7312034167b,( - ),( C ),not reliable identification,1.59,not reliable identification,1.54
f3cd0d14-e406-4dc5-b3bf-d4ebb299900e,( ++ ),( A ),Clostridium difficile,2.27,Clostridium difficile,2.24
fb7e1be9-1ba9-444b-9f6e-938970d4dfbb,( ++ ),( A ),Clostridium difficile,2.18,Clostridium difficile,2.13
fd483fb1-13da-48bb-b8c1-77139a4d815a,( - ),( C ),not reliable identification,1.22,not reliable identification,1.18
027a74b7-705e-41fc-87ee-4451f4c4fefd,( ++ ),( A ),Candida parapsilosis,2.11,Candida parapsilosis,1.95
08e6585c-6bb6-4ab0-966e-85035762b071,( ++ ),( A ),Staphylococcus epidermidis,2.19,Staphylococcus epidermidis,2.12
0b76c645-ecfc-41fd-908e-f3fb66ef5bd6,( +++ ),( A ),Proteus mirabilis,2.51,Proteus mirabilis,2.49
1347346d-c136-4823-b4ef-f47e87026314,( +++ ),( A ),Staphylococcus aureus,2.43,Staphylococcus aureus,2.4
15784d16-af9f-4e52-8495-5549a8ab13f8,( ++ ),( A ),Staphylococcus epidermidis,2.19,Staphylococcus epidermidis,2.14
29516d64-df33-4e99-9216-43ebbb663dc2,( ++ ),( B ),Streptococcus dysgalactiae,2.26,Streptococcus canis,2.26
2c60a9f3-cad7-4c37-89c0-eb01b0b3967e,( +++ ),( A ),Proteus mirabilis,2.51,Proteus mirabilis,2.5
31b92fbc-49cd-4603-a5a4-a5602675ae24,( ++ ),( A ),Staphylococcus epidermidis,2.19,Staphylococcus epidermidis,2.18
347fa0fe-57b1-45eb-b5fd-9a0cbb66aec1,( +++ ),( A ),MIX!Haemophilus parainfluenzae,2.47,Haemophilus parainfluenzae,2.46
35ddb5cf-6df8-4f0d-86a7-80f8aee85937,( +++ ),( A ),Escherichia coli,2.56,Escherichia coli,2.48
36ddb292-11aa-4e72-8d78-98d68dbfaf91,( +++ ),( A ),Lactobacillus paracasei,2.41,Lactobacillus paracasei,2.39
39123262-272e-4712-809f-23088c9bffe6,( ++ ),( A ),Staphylococcus epidermidis,2.1,Staphylococcus epidermidis,2.09
3c2d003c-69df-45de-a7ff-f9d41ff89715,( ++ ),( A ),Candida parapsilosis,2.14,Candida parapsilosis,2.13
3cc70032-332a-4949-82f8-0f5075c42fd8,( +++ ),( A ),Dermabacter hominis,2.38,Dermabacter hominis,2.22
4216bb97-284f-4b1c-a5c6-1c36a7c5a6df,( ++ ),( A ),Staphylococcus epidermidis,2.2,Staphylococcus epidermidis,2.13
436ca9eb-5cde-4646-84cc-f744af75ea28,( ++ ),( B ),Streptococcus dysgalactiae,2.2,Streptococcus canis,2.19
44347fcc-9157-4ff9-8d14-6c7ff3cff60a,( +++ ),( B ),Streptococcus intermedius,2.49,Streptococcus intermedius,2.47
46f0dfcb-eb9d-43ff-933e-c1fbf075bdf6,( ++ ),( A ),Candida parapsilosis,2.16,Candida parapsilosis,2.14
52cf5198-22fe-4089-b9c7-4ee2d94faa20,( +++ ),( A ),Corynebacterium amycolatum,2.39,Corynebacterium amycolatum,2.31
5b9b450e-e3c9-4c7f-aa21-bef45096940e,( + ),( B ),Staphylococcus cohnii,1.73,Staphylococcus cohnii,1.71
607171fe-740e-4b54-b5ae-e3f3753b14b5,( +++ ),( A ),Proteus mirabilis,2.57,Proteus mirabilis,2.44
634c416d-59ce-4970-90ee-9bb688d5da74,( ++ ),( A ),Candida parapsilosis,2.12,Candida parapsilosis,2.01
65f88b38-b18b-478f-b27e-bff13667fa02,( +++ ),( A ),MIX!Staphylococcus aureus,2.51,Staphylococcus aureus,2.33
67a33278-6122-422e-b9fb-93e528ca688e,( +++ ),( A ),Proteus mirabilis,2.34,Proteus mirabilis,2.21
6bfb0686-eb43-432b-83aa-2fb2f16c752b,( +++ ),( A ),Proteus mirabilis,2.37,Proteus mirabilis,2.37
6f76b63f-ad4e-4072-a16c-3c9eed30746b,( +++ ),( A ),Proteus mirabilis,2.46,Proteus mirabilis,2.41
8609b5cb-568a-4f12-906c-a1e5efe5caea,( + ),( B ),Staphylococcus cohnii,1.92,Staphylococcus cohnii,1.89
87c92a0d-694e-49ba-89ec-e129746bbcbf,( +++ ),( A ),Corynebacterium striatum,2.36,Corynebacterium striatum,2.25
91938270-e13b-46a4-bc7e-fa08ca6593db,( +++ ),( A ),MIX!Acinetobacter radioresistens,2.42,Acinetobacter radioresistens,2.33
94310d6c-2064-4104-9b13-c8d478f0a301,( +++ ),( A ),Staphylococcus aureus,2.55,Staphylococcus aureus,2.55
99c58df1-a628-4b29-95e8-3718919bea5a,( ++ ),( B ),Streptococcus dysgalactiae,2.24,Streptococcus canis,2.23
a2a1ae74-d187-41d4-993f-8820f623064a,( ++ ),( A ),Aerococcus viridans,2.11,Aerococcus viridans,1.84
b1573e48-6c8a-4942-a9a7-c246ccc68d0b,( ++ ),( A ),Staphylococcus epidermidis,2.15,Staphylococcus epidermidis,2.14
b20099ea-5028-4f5a-8c45-d024fa36160d,( +++ ),( B ),Streptococcus canis,2.36,Streptococcus dysgalactiae,2.25
bf132b58-1aea-45da-9af4-68c0ca8ac5e6,( +++ ),( A ),Escherichia coli,2.4,Escherichia coli,2.38
c1e7323f-c701-4d7b-b27c-3e2495b18e61,( +++ ),( A ),Staphylococcus aureus,2.4,Staphylococcus aureus,2.33
c51b63ba-9a0c-47b1-b2d7-4b7e336250a8,( +++ ),( A ),Morganella morganii,2.44,Morganella morganii,2.37
cca12fa4-5075-4c48-a8db-aea32581e6aa,( +++ ),( B ),Streptococcus canis,2.35,Streptococcus dysgalactiae,2.34
d6a2d7d1-bc46-4c7f-977c-9dd3017b95f0,( ++ ),( A ),Arthrobacter cumminsii,2.11,Arthrobacter cumminsii,2.01
d94cf6f1-4e4d-47b7-97c3-d8d25e9c0de8,( +++ ),( B ),Citrobacter freundii,2.41,Citrobacter freundii,2.32
db6747e8-c5f0-4148-80ef-ad994522879d,( +++ ),( A ),Staphylococcus aureus,2.5,Staphylococcus aureus,2.41
ecb7f2d5-5b2f-416a-a2c4-8b70e8809038,( +++ ),( A ),MIX!Acinetobacter radioresistens,2.41,Acinetobacter radioresistens,2.36
f0278b39-e6c4-4b78-97a7-0a5b5d10ab3f,( +++ ),( A ),Providencia rettgeri,2.41,Providencia rettgeri,2.33
f6f66606-7305-42d5-bba5-63d4a9002e63,( ++ ),( A ),Staphylococcus epidermidis,2.08,Staphylococcus epidermidis,1.72
f8246b98-bc14-4b26-a265-280af18740ec,( ++ ),( A ),Staphylococcus epidermidis,2.1,Staphylococcus epidermidis,2.03
f87fb2f1-a953-4d4c-84b2-d569663f5c5e,( +++ ),( A ),Staphylococcus aureus,2.37,Staphylococcus aureus,2.3
f9a0bf73-d693-46c4-9708-cf7dc5c71556,( ++ ),( A ),Streptococcus constellatus,2.11,Streptococcus constellatus,2.1
06959176-9f7e-459b-abfb-6be972bd3be5,( ++ ),( A ),Peptoniphilus harei,2.28,Peptoniphilus harei,2.04
0cf83691-4586-4994-a324-1e7800cddae1,( +++ ),( C ),MIX!Staphylococcus haemolyticus,2.44,Staphylococcus haemolyticus,2.43
