3cfdbdc6-cc33-4190-b283-a33892ac5a34;( +++ );( A );Alloscardovia omnicolens;2.44;Alloscardovia omnicolens;2.43;
3ea08886-0c70-4937-a02d-a9cc002451c0;( ++ );( A );Staphylococcus epidermidis;2.12;Staphylococcus epidermidis;2.02;
47d5f977-3e73-4675-ace7-e4c95fe5f688;( +++ );( A );Haemophilus sputorum;2.36;Haemophilus sputorum;2.25;
4d46c13c-6cde-428b-ad7c-235846e4c66f;( ++ );( A );Streptococcus salivarius;2.23;Streptococcus salivarius;2.14;
6d24c60a-4059-4aaf-9b34-2ba4d75d6a61;( +++ );( A );MIX!Haemophilus parainfluenzae;2.36;Haemophilus parainfluenzae;2.06;
b71faeb8-5c0b-409d-87b9-ca50985678c5;( ++ );( A );Stenotrophomonas maltophilia;2.03;Stenotrophomonas maltophilia;1.93;
dd2e468c-f163-41d8-bf7b-695ae83e66ce;( + );( B );Staphylococcus epidermidis;1.84;Staphylococcus epidermidis;1.83;
dfdde275-370b-4997-b272-c6b5ed2d31af;( +++ );( A );Streptococcus vestibularis;2.4;Streptococcus vestibularis;2.4;
e35fe044-962b-4d9c-ba21-c72398a3eced;( +++ );( B );Streptococcus vestibularis;2.43;Streptococcus vestibularis;2.4;
3112f7c6-7020-4cc7-84f4-d1da03a60642;( + );( B );Saccharomyces cerevisiae;1.82;not reliable identification;1.69;
f25e010b-fc84-4371-86ad-ad1bb6c0e7f6;( + );( B );Candida albicans;1.91;Candida albicans_(africana);1.83;
fa8625cd-1ad4-436d-aae3-1c1b2d764cfe;( +++ );( A );MIX!Lactobacillus rhamnosus;2.46;Lactobacillus rhamnosus;2.13;
15506e8f-48cc-4ce0-961d-a5fec7435229;( ++ );( A );Streptococcus agalactiae;2.14;Streptococcus agalactiae;2.14;
28cfe4d1-5bbb-4d9e-81f3-baafb66b18b6;( +++ );( A );Streptococcus agalactiae;2.31;Streptococcus agalactiae;2.28;
3da0dc0a-4744-4c7d-88a2-6aa6fbe2c374;( +++ );( A );Streptococcus pyogenes;2.39;Streptococcus pyogenes;2.37;
4113c30c-b982-4c9d-9816-f69066a4b0b9;( - );( C );not reliable identification;1.4;not reliable identification;1.35;
616dff30-52d3-4301-bbf8-7b5220668a0d;( ++ );( B );Gardnerella vaginalis;2.17;Gardnerella vaginalis;2.01;
81f942b9-ad0b-472e-813d-ccc513c217e6;( +++ );( A );Streptococcus agalactiae;2.4;Streptococcus agalactiae;2.27;
e78390ba-01cb-4748-bf30-4b13087f22af;( ++ );( A );Candida albicans;2.08;Candida albicans;2.04;
fd456544-5b02-4bbe-a851-a0574a0d57e4;( ++ );( A );Citrobacter freundii;2.09;Citrobacter freundii;2.09;
fe373ff6-f469-4492-8bd3-fccab3bab08c;( ++ );( B );Streptococcus dysgalactiae;2.23;Streptococcus dysgalactiae;2.19;
588705e7-21fa-4ace-b41b-1e892449650c;( ++ );( A );Candida albicans;2.1;Candida albicans;2.08;
a3b943c1-6b62-4325-b8f4-a3a742bc3596;( ++ );( B );Enterobacter ludwigii;2.23;Enterobacter asburiae;2.17;
d1a50d85-1896-42a7-b1f7-b75d9b065efb;( ++ );( B );Enterobacter cloacae;2.26;Enterobacter ludwigii;2.19;
fe1992cd-49f3-4df9-8888-8d0f0376a48f;( ++ );( A );Candida albicans;2.03;Candida albicans;2.03;
222e40e6-f81a-4c6f-8dfd-6b781c122d0c;( - );( C );not reliable identification;1.51;not reliable identification;1.32;
2578a2e2-93ef-4575-90ff-1978659c08ab;( + );( B );Clostridium sp;1.96;not reliable identification;1.49;
55134be1-4669-4beb-b544-921781188762;( + );( B );Parvimonas micra;1.99;Parvimonas micra;1.82;
3f5d3739-3ef5-4828-9481-6f94de29d563;( + );( B );Gardnerella sp;1.99;Gardnerella vaginalis;1.79;
4b2e282d-0f27-4ad3-926c-456e9d9a1d95;( ++ );( A );Gardnerella vaginalis;2.02;Gardnerella vaginalis;1.98;
05011efd-a254-4633-9190-cf6a2d964f6c;( ++ );( A );Stenotrophomonas maltophilia;2.28;Stenotrophomonas maltophilia;2.1;
0ec32e4a-71c6-4668-8e70-7452e89ba4ef;( ++ );( B );Pseudomonas rhodesiae;2.04;Pseudomonas corrugata;2.02;
0fd39a53-504b-41e8-b7e6-bb2f7d0bc255;( ++ );( A );Staphylococcus epidermidis;2.04;Staphylococcus epidermidis;1.98;
10281ee1-fbbe-4c74-b152-642ac5af088b;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.33;
17116718-8228-4e15-9eff-d7ab5779689e;( +++ );( B );Enterobacter cloacae;2.34;Enterobacter cloacae;2.19;
17a63e11-c7c7-4e34-9e81-956ef6f99b33;( ++ );( A );Staphylococcus haemolyticus;2.23;Staphylococcus haemolyticus;2;
1ed24242-5fb6-477c-8ca8-4b2276dacd54;( ++ );( A );Staphylococcus epidermidis;2.15;Staphylococcus epidermidis;2.12;
23ba2792-96ea-42ec-b266-d1c79227dee1;( +++ );( A );Rothia mucilaginosa;2.42;Rothia mucilaginosa;2.4;
26ff3a64-a207-4e7e-9017-cf65784b17a2;( +++ );( A );Morganella morganii;2.63;Morganella morganii;2.58;
2e61c1bb-bc6a-4f04-9bb1-e037961a3e9a;( +++ );( A );Streptococcus pyogenes;2.38;Streptococcus pyogenes;2.31;
2ee2b235-990c-487f-9ecd-b15e44afcdf8;( +++ );( B );Serratia liquefaciens;2.42;Serratia liquefaciens;2.38;
30f9e9c6-48cb-48d6-b6db-bee31c6028d7;( +++ );( A );Pseudomonas aeruginosa;2.36;Pseudomonas aeruginosa;2.36;
37f9927e-463c-480b-886c-fcd1846bdb6d;( ++ );( A );Staphylococcus epidermidis;2.02;Staphylococcus epidermidis;2;
3b5e0e52-2b16-4501-b41e-19ba2bde4785;( +++ );( A );Acinetobacter baumannii;2.42;Acinetobacter baumannii;2.36;
3f4f36c9-96d7-4956-bd1e-db38c232fb85;( +++ );( A );Escherichia coli;2.3;Escherichia coli;2.28;
42c74a21-634d-42b9-96b7-dec0e0914407;( + );( B );Bifidobacterium breve;1.99;Bifidobacterium breve;1.91;
454f635b-3789-4e52-8ae1-4d81cfaa1216;( +++ );( B );Acinetobacter baumannii;2.4;Acinetobacter baumannii;2.36;
470fdeaf-071e-4c67-b312-567277d970e0;( ++ );( A );Staphylococcus epidermidis;2.01;Staphylococcus epidermidis;1.95;
48d3cac1-eb49-4245-82fa-1bbb491cf40d;( +++ );( A );Gardnerella vaginalis;2.43;Gardnerella vaginalis;2.29;
5ba7daaf-1419-4c1f-9007-76b26dd81b90;( +++ );( A );Enterococcus faecalis;2.42;Enterococcus faecalis;2.35;
6bcdb0e6-42ab-4245-90e0-e14360b0e819;( +++ );( A );Stenotrophomonas maltophilia;2.3;Stenotrophomonas maltophilia;2.2;
6e9f3f7a-b791-45f2-a9be-9ff1f044a658;( +++ );( B );Citrobacter freundii;2.49;Citrobacter freundii;2.39;
6f19338f-a76e-4f5c-8382-a00f09f36b21;( ++ );( A );Staphylococcus haemolyticus;2.21;Staphylococcus haemolyticus;2.01;
7496f868-cbbb-49d2-be02-3c0e3b260890;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.25;
75e245a1-b2eb-4c80-9f1c-2f5f579f881d;( ++ );( A );Staphylococcus epidermidis;2.07;Staphylococcus epidermidis;2.05;
808bfaaf-9157-412c-96b5-26f880671c9f;( +++ );( A );Pseudomonas aeruginosa;2.42;Pseudomonas aeruginosa;2.37;
886aa213-7cf0-46a6-8daa-6b3db3c33224;( ++ );( B );Citrobacter freundii;2.28;Citrobacter freundii;2.16;
98181d7f-d26e-48ab-9baa-6afdbf667672;( +++ );( B );MIX!Klebsiella pneumoniae;2.53;Klebsiella pneumoniae;2.42;
99f427a4-a222-4e8e-90d1-3d83633ecb53;( +++ );( A );Pseudomonas aeruginosa;2.36;Pseudomonas aeruginosa;2.24;
9fe768c9-a85b-40f2-bdce-af230c122a61;( +++ );( A );Enterococcus faecium;2.5;Enterococcus faecium;2.33;
a09fabc8-b8c7-4ead-a775-0bd607f80335;( ++ );( A );Staphylococcus epidermidis;2.14;Staphylococcus epidermidis;2.02;
b20716f9-244b-4dec-afe1-33b0c0ecb5e1;( ++ );( A );Pseudomonas aeruginosa;2.29;Pseudomonas aeruginosa;2.22;
cc1edd98-dfe0-459c-98b8-50d22ce04587;( ++ );( A );Lactobacillus iners;2.28;not reliable identification;1.3;
d1e02f0b-1c12-4a27-8966-7427287f2014;( - );( C );no peaks found;< 0;no peaks found;< 0;
d4efbd4f-1b68-45c4-8869-2fce63be03fa;( +++ );( A );Proteus mirabilis;2.57;Proteus mirabilis;2.44;
ddee5343-0fa0-409e-9884-fd8c65d05b97;( +++ );( A );Acinetobacter baumannii;2.38;Acinetobacter baumannii;2.35;
e5b144d2-28e2-442a-8836-c55d1a554407;( +++ );( A );Escherichia coli;2.37;Escherichia coli;2.35;
e7a33832-bb14-448a-af0c-422d94cca387;( ++ );( B );Enterobacter cloacae;2.24;Enterobacter asburiae;2.11;
e98eaa22-a52d-49f9-ab1e-3d2be1d89d2d;( +++ );( A );Enterococcus faecalis;2.36;Enterococcus faecalis;2.31;
eb5b3973-a2ee-49b1-a01b-562c79cc745a;( +++ );( A );Escherichia coli;2.47;Escherichia coli;2.47;
f6663040-f291-4d38-8d0a-7d72deeb9720;( +++ );( A );Escherichia coli;2.32;Escherichia coli;2.26;
ffabf016-ceee-4301-82ef-209e55552940;( +++ );( A );MIX!Enterococcus faecalis;2.52;Enterococcus faecalis;2.29;
3843cdf3-6bef-4469-a20c-ec880a39e352;( +++ );( A );Staphylococcus aureus;2.4;Staphylococcus aureus;2.35;
a2d03526-7979-472b-a9bb-8c5bc21be42b;( +++ );( A );Enterococcus faecalis;2.37;Enterococcus faecalis;2.35;
1d2a3b73-a9c8-4399-a280-955eb2ea2576;( ++ );( A );Staphylococcus hominis;2.28;Staphylococcus hominis;2.23;
4d24d677-47f9-4ced-913d-db5dc381fc85;( +++ );( A );Staphylococcus aureus;2.3;Staphylococcus aureus;2.19;
52fb4461-161e-46a5-ae1a-2c3d8d01b3e8;( + );( B );Staphylococcus epidermidis;1.87;Staphylococcus epidermidis;1.82;
82b4b1a3-1deb-47bc-8cd4-8563baef1866;( +++ );( A );Staphylococcus aureus;2.33;Staphylococcus aureus;2.19;
ac187494-f8a1-4881-81e4-efb808f29e93;( + );( B );Staphylococcus epidermidis;1.88;Staphylococcus epidermidis;1.88;
cae7c2b9-6ba8-4bc6-beef-6562287b6c14;( +++ );( A );Escherichia coli;2.53;Escherichia coli;2.46;
d9802ebf-c5b6-46dc-bbad-ee8a5681999e;( +++ );( A );Escherichia coli;2.5;Escherichia coli;2.44;
fe544115-eb12-4b50-bb76-410e9abb38e6;( ++ );( A );Staphylococcus hominis;2.25;Staphylococcus hominis;2.17;
049cd8c1-a199-4995-9ab2-6839c5ec4edd;( ++ );( A );Serratia marcescens;2.18;Serratia marcescens;1.94;
0b3c8247-0d6e-4d07-8c8d-d88046bc6f72;( +++ );( A );Haemophilus influenzae;2.31;Haemophilus influenzae;2.29;
0e2f601a-3544-4261-a714-d0553f5d7cc4;( +++ );( A );MIX!Rothia mucilaginosa;2.55;Rothia mucilaginosa;2.53;
0ee22ad9-a799-463f-8c3c-bdda71d08e65;( +++ );( A );Haemophilus influenzae;2.4;Haemophilus influenzae;2.26;
1ac185b5-0d29-43d0-9d69-ab41053d1509;( +++ );( A );Pseudomonas aeruginosa;2.38;Pseudomonas aeruginosa;2.37;
23a9bf90-bf78-48a4-9f47-1e7c50c6e9a3;( +++ );( A );Pseudomonas aeruginosa;2.41;Pseudomonas aeruginosa;2.3;
2a985a87-a8ee-493e-b9e0-863c52a321d3;( +++ );( B );Pseudomonas aeruginosa;2.4;Pseudomonas aeruginosa;2.34;
39c89a69-0f3f-4a33-9e18-0ffc7ff452eb;( +++ );( C );Enterobacter aerogenes;2.38;Enterobacter aerogenes;2.3;
43724ad9-46d4-435c-92ca-f3bf7f6a472f;( ++ );( A );Staphylococcus haemolyticus;2.11;Staphylococcus haemolyticus;2.03;
599cbc8f-9618-4546-9d3d-994dc50fd55f;( +++ );( B );Enterobacter cloacae;2.34;Enterobacter cloacae;2.18;
627dc306-1433-4591-b8ef-aa53e13e5810;( ++ );( A );Candida dubliniensis;2;Candida dubliniensis;1.95;
769b36e4-49d0-4dc9-a4c4-84084b49bb2d;( +++ );( A );MIX!Pandoraea sp[2];2.33;Pandoraea sp[2];2.27;
7bbb0260-06cf-4e4d-965a-1d486f35390d;( ++ );( B );Candida albicans;2.18;Candida albicans_(africana);2.05;
93b3166a-3157-4185-850b-e1ce9cc93d03;( ++ );( A );Pseudomonas aeruginosa;2.25;Pseudomonas aeruginosa;2.03;
9aa901b5-4657-4802-b324-3c628fb756c5;( ++ );( A );Candida albicans;2.01;Candida albicans;1.97;
9e4bd81c-acdb-4314-acee-04f3313007c4;( ++ );( B );Streptococcus salivarius;2.18;Streptococcus vestibularis;2.07;
a23bbfb3-f067-466a-b9d6-89deedfceb18;( + );( B );Achromobacter xylosoxidans;1.95;Achromobacter xylosoxidans;1.87;
dc6f844b-7f53-4785-95a5-8bffffe2dbc3;( ++ );( A );Gemella haemolysans;2.12;Gemella haemolysans;1.96;
f4676e6c-50c2-4cd0-ac3b-cc0106a26f4c;( +++ );( A );Proteus mirabilis;2.41;Proteus mirabilis;2.33;
f8e9c020-ebe4-431f-877b-ca3e4ddcf79d;( +++ );( C );Enterobacter aerogenes;2.3;Enterobacter aerogenes;2.25;
07084ef4-2767-432e-afe0-195bb7d7bfa8;( + );( B );Escherichia coli;1.71;not reliable identification;1.68;
0fdaa795-f2ba-49c2-b22f-0de75c435514;( - );( C );not reliable identification;1.18;not reliable identification;1.07;
34820bf6-59c1-4134-8bbf-5c3de8fa2d03;( - );( C );not reliable identification;1.37;not reliable identification;1.32;
44ea75ee-a4a8-4aaa-baef-d8810432b687;( +++ );( A );Klebsiella pneumoniae;2.3;Klebsiella pneumoniae;2.26;
476ac721-b92c-4910-8879-f6f867dd3d4d;( +++ );( B );Klebsiella pneumoniae;2.31;Klebsiella pneumoniae;2.3;
47966505-b9ce-4041-bb1b-ed85619a1c62;( +++ );( C );MIX!Klebsiella pneumoniae;2.38;Klebsiella pneumoniae;2.24;
4fdc7af1-8718-4dad-addb-c76a92de90e6;( +++ );( A );Escherichia coli;2.35;Escherichia coli;2.33;
518c0809-931a-44a7-9429-b8f8f4b15e1b;( +++ );( A );Escherichia coli;2.38;Escherichia coli;2.35;
52207880-f9d6-4bb8-8ad2-8220efab07e5;( ++ );( A );Streptococcus constellatus;2.18;Streptococcus constellatus;1.95;
6e72c67d-a560-475f-a3d7-48d408e4a3cf;( +++ );( B );Neisseria subflava;2.33;Neisseria subflava;2.24;
72d19204-e810-4a7a-bba3-14347a018f9f;( +++ );( A );MIX!Haemophilus parahaemolyticus;2.45;Haemophilus parahaemolyticus;2.19;
8429035b-9fd7-4667-8dc9-e3ff46918700;( +++ );( A );Enterococcus faecalis;2.42;Enterococcus faecalis;2.36;
906428c9-8f9f-4546-ad0c-7b124c144462;( - );( C );not reliable identification;1.64;not reliable identification;1.56;
9a8ad333-6e3e-45aa-b9a9-9f128a95a76c;( - );( C );not reliable identification;1.25;not reliable identification;1.19;
ab9f4462-4c4b-48c1-b699-2113bbd00511;( ++ );( A );Haemophilus parainfluenzae;2.15;Haemophilus parainfluenzae;2.07;
e346241b-c8ce-499b-80a5-826673150623;( ++ );( B );Neisseria subflava;2.25;Neisseria subflava;2.23;
e4d0366f-680f-42b5-8a48-a83f2cc7b8b4;( ++ );( C );Klebsiella pneumoniae;2.18;Klebsiella pneumoniae;2.16;
e5868450-be7f-450b-a08e-9bc20bbd9afb;( +++ );( A );Escherichia coli;2.42;Escherichia coli;2.39;
