12f852d2-17b9-4133-bbd3-47be6e6adf9c;( - );( C );no peaks found;<0;no peaks found;<0;
a4a9ce37-9873-4fb8-a11a-7bdddd1dcde3;( ++ );( A );Staphylococcus epidermidis;2.24;Staphylococcus epidermidis;2.21;
b01f8109-6069-47ef-aecc-99164169cab0;( ++ );( A );Lactobacillus iners;2.29;not reliable identification;1.4;
b216eb4a-a923-41d0-893a-ce5d049841ef;( +++ );( A );Streptococcus anginosus;2.37;Streptococcus anginosus;2.35;
bf0de481-5661-49be-aade-9db8351c41a8;( ++ );( A );Staphylococcus epidermidis;2.2;Staphylococcus epidermidis;2.18;
c0c90e12-5f70-4b24-8ca3-1bb768b8b5ac;( +++ );( A );Staphylococcus aureus;2.43;Staphylococcus aureus;2.4;
cfbe66a8-2472-4d89-a84f-5dac7fdc8c8f;( +++ );( A );Pseudomonas aeruginosa;2.48;Pseudomonas aeruginosa;2.46;
d9d1b004-ba9c-4b05-91d7-d609b4d619c8;( +++ );( A );Staphylococcus aureus;2.33;Staphylococcus aureus;2.21;
ddb7b006-293d-46a9-9f01-0bb7978959c3;( +++ );( A );Enterococcus faecalis;2.37;Enterococcus faecalis;2.31;
e2ac41bb-54b7-4769-beb8-fab5d519984b;( ++ );( A );Staphylococcus epidermidis;2.15;Staphylococcus epidermidis;2.11;
ba3a0adc-a15c-441b-ab25-eb672702610d;( +++ );( A );Escherichia coli;2.41;Escherichia coli;2.38;
dd9084af-42b5-4071-bfa7-a3fc7eca2b1e;( +++ );( A );Escherichia coli;2.51;Escherichia coli;2.44;
8eadcf49-d1ce-470f-9517-284eb3c258fe;( ++ );( A );MIX!Staphylococcus haemolyticus;2;Staphylococcus haemolyticus;1.76;
972b8a92-4a19-4145-933e-98299a7a4830;( +++ );( A );Escherichia coli;2.44;Escherichia coli;2.36;
ded7154e-95d5-495b-ac84-e4fbd8fe39f2;( +++ );( A );Escherichia coli;2.48;Escherichia coli;2.39;
01212d5a-1848-4a6e-8415-562c78725976;( +++ );( A );Staphylococcus aureus;2.42;Staphylococcus aureus;2.42;
041f8676-9647-4014-b3b5-8913e910c60c;( +++ );( A );Escherichia coli;2.4;Escherichia coli;2.34;
05073eb6-dcfe-4cf2-8ac7-56b55fa7656c;( +++ );( A );Escherichia coli;2.33;Escherichia coli;2.3;
05a9846a-ca37-4851-b51e-b5e553c40c02;( +++ );( A );Escherichia coli;2.39;Escherichia coli;2.32;
09ecdcd5-befe-49d1-a781-b3fe90ef9842;( +++ );( A );Staphylococcus aureus;2.37;Staphylococcus aureus;2.36;
0a10e2a9-aa81-48b4-980b-9721de3879b0;( +++ );( A );Staphylococcus aureus;2.41;Staphylococcus aureus;2.38;
0f5cefe8-c85b-4568-aa0e-1cecd856e177;( +++ );( A );Staphylococcus aureus;2.44;Staphylococcus aureus;2.4;
0fcbed0b-0935-4e00-889a-b3103d9b0960;( +++ );( A );Staphylococcus aureus;2.44;Staphylococcus aureus;2.34;
134545dc-157b-411d-95a4-1f9a6dcfaa60;( +++ );( A );Klebsiella pneumoniae;2.3;Klebsiella pneumoniae;2.22;
1f20d949-d168-4dc8-980d-b4a05c2c9a86;( +++ );( B );Klebsiella pneumoniae;2.48;Klebsiella pneumoniae;2.36;
1f86889c-dd63-4c67-89f7-62963afc76f9;( +++ );( B );Klebsiella pneumoniae;2.44;Klebsiella pneumoniae;2.42;
2e934bc6-d160-40f9-9654-d44dc1336655;( ++ );( B );Streptococcus constellatus;2.24;Streptococcus constellatus;2.18;
4ca02f4f-933b-49b3-bd04-e3165f6b56f0;( +++ );( B );Klebsiella pneumoniae;2.51;Klebsiella pneumoniae;2.45;
59f77067-8797-4203-87bb-84bf13714045;( +++ );( A );Escherichia coli;2.38;Escherichia coli;2.36;
8b1f7e9b-2b5e-4955-9531-4ab3e5df4d30;( +++ );( A );Escherichia coli;2.42;Escherichia coli;2.39;
9cef3712-bbc7-4548-a9e3-35bf7b458465;( ++ );( B );Neisseria flavescens;2.16;Neisseria subflava;2.11;
ae0a5f8d-abd9-4762-8fc9-14bd096d49e0;( ++ );( B );Haemophilus parahaemolyticus;2.23;Haemophilus parahaemolyticus;2.19;
ae8d46bd-eb57-4d70-9fd1-b253b75d03aa;( +++ );( B );MIX!Enterobacter cloacae;2.46;Enterobacter cloacae;2.38;
be106a0b-9674-4eb4-815e-cf9ffab0d5de;( +++ );( A );Staphylococcus aureus;2.51;Staphylococcus aureus;2.45;
c0662a85-84be-495d-95a7-66d49c3286a0;( +++ );( A );Escherichia coli;2.44;Escherichia coli;2.39;
c43cacc1-5641-4dc0-9625-0d4b29d5d2f4;( +++ );( A );Staphylococcus aureus;2.42;Staphylococcus aureus;2.41;
ce580862-1b1c-46eb-ab73-55099578408b;( ++ );( B );Enterobacter cloacae;2.28;Enterobacter hormaechei;2.21;
d1205c68-8f5d-46a9-bdf4-f7a12b592083;( +++ );( A );Candida glabrata;2.39;Candida glabrata;2.18;
d24ebff0-2394-4d41-994e-49e57a1fdeb0;( +++ );( A );Escherichia coli;2.31;Escherichia coli;2.29;
f28b33e2-fa2c-4e83-94a7-3fe9a862d1ed;( +++ );( A );Escherichia coli;2.42;Escherichia coli;2.38;
feffc8fc-508b-44b2-a2ea-2a00d86a7aad;( +++ );( A );Staphylococcus aureus;2.4;Staphylococcus aureus;2.38;
174a62d3-082a-4a99-a1ce-87bc99fa02c1;( +++ );( B );Klebsiella pneumoniae;2.45;Klebsiella pneumoniae;2.44;
218049d1-97c6-4946-9dde-ce10c998fb91;( +++ );( A );Enterococcus faecalis;2.48;Enterococcus faecalis;2.33;
2cf5cff6-a5d3-4739-bc5c-d6aa406ce038;( +++ );( A );Enterococcus faecalis;2.48;Enterococcus faecalis;2.43;
3658637c-2cc8-4368-9371-d5a9f0101a12;( +++ );( A );Enterococcus faecalis;2.4;Enterococcus faecalis;2.35;
3ded48de-3a3a-4517-84d0-6639d5032627;( +++ );( B );Klebsiella variicola;2.42;Klebsiella variicola;2.38;
6b1648bd-ce23-4c77-9000-f54404d72c6c;( ++ );( A );Enterococcus faecalis;2.21;Enterococcus faecalis;2.19;
76cc3266-cc61-4151-8b6a-c7d73a5258d1;( +++ );( A );Klebsiella variicola;2.41;Klebsiella variicola;2.32;
8739ea9e-e1dd-4480-81dd-10a75347d704;( +++ );( A );Escherichia coli;2.53;Escherichia coli;2.5;
956816d3-d541-4cb3-9b70-a29ce7eda1e7;( +++ );( A );Enterococcus faecium;2.48;Enterococcus faecium;2.36;
9cc83399-5e63-4e22-9e97-615c8fdceca2;( +++ );( A );Enterococcus faecalis;2.45;Enterococcus faecalis;2.43;
b5f8ab06-2ab2-4372-bffd-2b2cb31005b8;( +++ );( A );Escherichia coli;2.43;Escherichia coli;2.43;
bd5da178-8851-4a85-829b-0260102ffb7b;( ++ );( A );Lactobacillus jensenii;2.21;Lactobacillus jensenii;2.15;
dde9db76-11d3-4aeb-8b54-74c02a60141b;( +++ );( C );Klebsiella oxytoca;2.38;Klebsiella oxytoca;2.35;
e40dc26b-c6d3-407f-8ba7-b92f6a893c15;( ++ );( B );Enterobacter asburiae;2.2;Enterobacter cloacae;2.03;
0209ce69-e616-44f5-b199-1a0fa7da181b;( ++ );( B );Propionibacterium avidum;2.23;Propionibacterium avidum;2.16;
1fb5da26-c48d-4ad1-bca6-1c8aa577276e;( +++ );( A );Gardnerella vaginalis;2.38;Gardnerella vaginalis;2.36;
216c8c78-46b5-4371-bea1-86f44e3800af;( - );( C );not reliable identification;1.34;not reliable identification;1.25;
2fab3c73-c113-456f-92ea-9e66ede764d8;( ++ );( A );Streptococcus agalactiae;2.28;Streptococcus agalactiae;2.26;
328f455f-f77c-473a-a674-e514df586ec9;( +++ );( A );Gardnerella vaginalis;2.52;Gardnerella vaginalis;2.44;
355ac6bf-3ff0-4632-87ab-2ed8156470d9;( - );( C );not reliable identification;1.27;not reliable identification;1.19;
3ece614a-7ce4-4295-beb5-eca051edd1fa;( +++ );( A );Escherichia coli;2.62;Escherichia coli;2.49;
450e2a4d-8d45-44df-a7c4-60e88b0c1998;( +++ );( A );Staphylococcus aureus;2.52;Staphylococcus aureus;2.48;
497e1aad-2d2a-4f33-8d83-fa0911891d93;( ++ );( A );Lactobacillus iners;2.29;not reliable identification;1.47;
4fc3ea38-4aa3-4f0a-9348-f4f3e895a6bb;( +++ );( A );Enterococcus faecalis;2.47;Enterococcus faecalis;2.34;
52b70d8f-476d-420d-bf60-6a40d8087255;( +++ );( A );Enterococcus faecalis;2.44;Enterococcus faecalis;2.39;
5acff82a-e2e2-4343-a24d-b0990aaeccea;( - );( C );not reliable identification;1.18;not reliable identification;1.14;
619e9bcd-ae97-4d67-a889-0ce4e77f240e;( +++ );( A );Staphylococcus haemolyticus;2.44;Staphylococcus haemolyticus;2.14;
669a7f69-1398-4258-9155-75965b68ffe8;( +++ );( A );Lactobacillus paracasei;2.34;Lactobacillus paracasei;2.29;
70e55336-4d65-409b-85ce-31349afda01f;( +++ );( A );Lactobacillus rhamnosus;2.38;Lactobacillus rhamnosus;2.35;
7ee07e14-2d5e-4e1f-9b88-356fe04ae76f;( +++ );( B );Gardnerella vaginalis;2.35;Gardnerella sp;2.11;
834a30c3-cf08-480c-a6d8-bbf09a1ad21a;( +++ );( A );Staphylococcus aureus;2.48;Staphylococcus aureus;2.43;
8c94f5cd-428b-4475-a552-a112dbf20d63;( +++ );( A );Enterococcus faecalis;2.3;Enterococcus faecalis;2.3;
bf034c24-dc0c-47d6-b6a9-939969f67bc8;( + );( B );Gardnerella vaginalis;1.82;Gardnerella vaginalis;1.77;
dcca029e-7cef-4f87-af6f-6d58045f34b9;( +++ );( B );MIX!Streptococcus anginosus;2.59;Streptococcus gallolyticus;2.57;
e93ac931-7ee6-409d-9c54-9e551d2d18b6;( ++ );( A );Corynebacterium amycolatum;2.16;Corynebacterium amycolatum;2.13;
5422b6f0-069b-423e-9e24-2b70d9dc4269;( - );( C );not reliable identification;1.23;not reliable identification;1.17;
6958cc8e-c178-4622-8f40-c50f686dcc6b;( - );( C );not reliable identification;1.25;not reliable identification;1.22;
ac18078e-0688-4ddd-a6a4-b7f5b64b0b72;( - );( C );not reliable identification;1.4;not reliable identification;1.31;
734e0eb3-c617-40aa-80bb-5c470934d496;( +++ );( A );Escherichia coli;2.37;Escherichia coli;2.35;
752105eb-63ee-4f73-ad64-ed4fbf066bb8;( +++ );( A );Escherichia coli;2.41;Escherichia coli;2.22;
763b5bc6-7f1f-4e1b-a74f-ccce011ca80b;( +++ );( A );Escherichia coli;2.3;Escherichia coli;2.25;
ce7f26a2-a9b3-4c54-90f1-9af84360ffe1;( +++ );( A );Escherichia coli;2.44;Escherichia coli;2.4;
2018-03-21T12-48-56;( +++ );( A );Escherichia coli;2.4;Escherichia coli;2.35;
2018-03-21T12-48-56;( +++ );( B );Escherichia coli;2.4;Escherichia coli;2.37;
2018-03-21T12-48-56;( +++ );( A );Escherichia coli;2.38;Escherichia coli;2.35;
2018-03-21T12-48-56;( +++ );( A );Escherichia coli;2.45;Escherichia coli;2.35;
2018-03-21T12-48-56;( +++ );( A );Escherichia coli;2.42;Escherichia coli;2.38;
2018-03-21T12-48-56;( +++ );( A );Escherichia coli;2.42;Escherichia coli;2.36;
2018-03-21T12-48-56;( +++ );( A );Escherichia coli;2.45;Escherichia coli;2.41;
2018-03-21T12-48-56;( +++ );( A );Escherichia coli;2.43;Escherichia coli;2.37;
2018-03-21T12-48-56;( +++ );( A );Escherichia coli;2.41;Escherichia coli;2.4;
a2862707-3fd0-46be-afc9-f1767683a2f2;( - );( C );not reliable identification;1.39;not reliable identification;1.38;
1e0f2758-a7c9-4aba-9129-05bab5cbf639;( +++ );( B );Citrobacter freundii;2.34;Citrobacter freundii;2.28;
201c9e70-d74d-46fa-84cf-e3a11d4b2d68;( +++ );( A );Lactobacillus rhamnosus;2.44;Lactobacillus rhamnosus;2.36;
284194c8-3073-4729-b3d7-c8b5d7e2fee4;( +++ );( A );Proteus mirabilis;2.53;Proteus mirabilis;2.47;
7021c63e-b362-451f-ba76-87ab5d4622ba;( +++ );( A );Lactobacillus rhamnosus;2.39;Lactobacillus rhamnosus;2.36;
8d11daf5-388d-451a-b794-f90e1693a3c5;( +++ );( A );Morganella morganii;2.6;Morganella morganii;2.59;
c5bdf14f-045a-493c-a914-e2175f0285c6;( + );( B );Bacteroides ovatus;1.93;Bacteroides ovatus;1.91;
c8007d70-2ed6-4440-b3a2-b628e63ab4fc;( +++ );( A );Proteus mirabilis;2.49;Proteus mirabilis;2.37;
ca1ddc13-5009-48aa-a8c5-28dbe8de8fe3;( +++ );( A );Escherichia coli;2.3;Escherichia coli;2.29;
d0bcb04a-fbdf-4fd6-8fda-b080d087b76e;( +++ );( A );Morganella morganii;2.42;Morganella morganii;2.4;
db6e537b-ac88-4dfe-9af0-2da34187d9aa;( +++ );( A );Proteus mirabilis;2.42;Proteus mirabilis;2.4;
e68f2786-faf2-441a-a17d-3593e87689e8;( ++ );( A );Bacteroides ovatus;2.01;Bacteroides ovatus;1.94;
e71d5748-2c31-4b6c-b426-ce1eeea524a4;( +++ );( B );Citrobacter freundii;2.3;Citrobacter freundii;2.29;
eeddd2d3-83af-4fe6-99d8-94f7fb586188;( +++ );( A );Proteus mirabilis;2.56;Proteus mirabilis;2.39;
f3688370-d62f-43c3-87f7-cdadb826b1b7;( +++ );( C );Enterobacter cloacae;2.4;Enterobacter cloacae;2.29;
83351c23-7b06-4f04-9130-adbe306154fc;( +++ );( A );Escherichia coli;2.42;Escherichia coli;2.41;
b10010ef-9b37-4c52-af44-099eb2d0dc08;( +++ );( A );Pseudomonas aeruginosa;2.39;Pseudomonas aeruginosa;2.38;
1bac2e1b-1e9e-409b-a4bf-329301dcd04e;( + );( B );Veillonella ratti;1.93;not reliable identification;1.46;
b9d7211e-9d37-45c1-bfb8-ef31357751e7;( - );( C );not reliable identification;1.15;not reliable identification;1.08;
cb27867d-17f0-404c-920c-4748b6321aa7;( - );( C );not reliable identification;1.6;not reliable identification;1.44;
d85df003-f215-4593-bc85-7bcdfae8bb6d;( + );( B );Streptococcus parasanguinis;1.83;Streptococcus parasanguinis;1.8;
666eed77-e015-4fd3-b6be-347ef6d1bcb5;( ++ );( B );Enterobacter cloacae;2.28;Enterobacter cloacae;2.25;
9b7a6f88-10c7-497e-8805-95fde851cf7b;( +++ );( A );Escherichia coli;2.39;Escherichia coli;2.29;
dc8b2040-3d3c-4004-88ef-2ab0e4bc38fc;( +++ );( B );Enterobacter cloacae;2.34;Enterobacter asburiae;2.27;
f7301042-cecc-47cf-918a-332797383e20;( +++ );( A );Proteus mirabilis;2.53;Proteus mirabilis;2.47;
0c18c0d3-3d52-48d0-8910-70405e14f8d4;( - );( C );no peaks found;<0;no peaks found;<0;
3d08ae26-4c70-44d3-bd2e-3272f9d43993;( +++ );( A );Staphylococcus aureus;2.4;Staphylococcus aureus;2.39;
95acb9be-61c4-43ca-a0c3-8d95a186b9a4;( +++ );( A );Enterococcus faecium;2.42;Enterococcus faecium;2.22;
99583131-4a38-43df-b90a-c64f097fa990;( - );( C );no peaks found;<0;no peaks found;<0;
e3eabbd5-a65d-42b7-858c-283a3eee4bf3;( ++ );( A );Staphylococcus haemolyticus;2.22;Staphylococcus haemolyticus;2.11;
63566a27-d4c5-4f77-8ae6-2f7edf141b88;( ++ );( A );Candida glabrata;2.24;Candida glabrata;2.11;
f7bf2592-c622-41a3-a60c-9115d18949ab;( ++ );( A );Klebsiella pneumoniae;2.2;Klebsiella pneumoniae;2.16;
038b09c9-b818-4098-b03c-2e533b15653d;( ++ );( A );Candida albicans;2.09;Candida albicans;2.01;
0400f8ab-7890-488a-94b6-4de39ab78746;( ++ );( A );Candida glabrata;2.08;Candida glabrata;2.05;
08c9d9a9-a402-4fe3-8b98-75e47b870fd6;( ++ );( A );Candida albicans;2.1;Candida albicans;2.09;
1324a136-37a5-4572-97d8-885febe79669;( + );( B );Candida albicans;1.71;not reliable identification;1.69;
255c5a5f-920c-4f66-8c9b-b76eba3a6247;( ++ );( A );Candida glabrata;2.22;Candida glabrata;2.19;
2fd2fb9e-15fe-4247-af70-5f3a0feb37ae;( - );( C );not reliable identification;1.43;not reliable identification;1.42;
39b63f31-14d9-428f-a151-e78f3c50cd5a;( + );( B );Candida albicans;1.85;Candida albicans;1.84;
3e704b17-4257-492f-8f5e-f3dd1bab3984;( ++ );( A );Streptococcus oralis;2.01;Streptococcus pneumoniae;1.88;
5a907375-e5ce-4fed-a223-c8e17970a7f3;( ++ );( A );Candida albicans;2.07;Candida albicans;2.04;
5d616f40-63f4-4c1c-a098-75083d4c4759;( +++ );( A );Moraxella_sg_Branhamella catarrhalis;2.56;Moraxella_sg_Branhamella catarrhalis;2.47;
61ba7bc0-fb60-4f95-a4df-4d883233b874;( +++ );( A );Moraxella_sg_Branhamella catarrhalis;2.63;Moraxella_sg_Branhamella catarrhalis;2.53;
68c1de02-991f-4565-a0c5-267c4f765fe8;( ++ );( A );Candida albicans;2.16;Candida albicans;2.11;
6df50655-6338-4a0a-84f3-9dd53285a488;( ++ );( A );Candida albicans;2.18;Candida albicans;2.12;
7211bcb5-c3da-43ee-8fb3-360dc6b5a0b6;( - );( C );not reliable identification;1.46;not reliable identification;1.39;
7d1ddc55-0fb9-4ef0-977a-653fb45cee1f;( ++ );( A );Candida albicans;2.06;Candida albicans;1.96;
8965109d-727e-47d9-842e-7472be68ae90;( - );( C );not reliable identification;1.44;not reliable identification;1.41;
9a1a3d67-1059-44b6-9d29-7012b5d11f96;( ++ );( A );Candida albicans;2.19;Candida albicans;2.13;
a5f3ea9b-3d5b-4fd9-bf21-8aba80422c88;( ++ );( A );Candida glabrata;2.1;Candida glabrata;2.06;
cb9f74d7-020b-4622-84f7-c9c60dd89aaa;( +++ );( A );Haemophilus influenzae;2.41;Haemophilus influenzae;2.36;
cd8f1579-287f-45cd-b92c-5d581ffc4660;( ++ );( A );Candida glabrata;2.27;Candida glabrata;2.18;
dd42e20b-28e5-4603-890b-72260f1ee64e;( ++ );( A );Candida albicans;2.14;Candida albicans;2.12;
e700094b-7d54-4e31-bc4b-5b8eb2b0563c;( +++ );( A );MIX!Haemophilus influenzae;2.59;Haemophilus influenzae;2.5;
e843d190-1eae-4714-b97b-a9d72d52df2b;( +++ );( A );Haemophilus influenzae;2.44;Haemophilus influenzae;2.41;
f2487278-8475-4683-a20a-27ddfd284201;( ++ );( A );Streptococcus constellatus;2.11;Streptococcus constellatus;2.06;
0677f84b-b014-4f02-9d86-dc8e0aee3152;( ++ );( A );Propionibacterium acnes;2.23;Propionibacterium acnes;2.22;
1d799b0a-fc70-4eb4-89b3-91017f1b08ed;( +++ );( A );Finegoldia magna;2.36;Finegoldia magna;2.29;
25ed7ea1-0baa-4f33-95b6-3d85587fa705;( ++ );( A );Staphylococcus caprae;2.26;Staphylococcus caprae;2.17;
28f981d1-ee9c-4b16-9a03-b7ac86c4ccd9;( - );( C );not reliable identification;1.21;not reliable identification;1.21;
4a778f2c-9a02-496f-8feb-99c2495678da;( +++ );( A );Staphylococcus hominis;2.38;Staphylococcus hominis;2.37;
53f6b67a-2eda-433e-97c6-948df90c00d0;( ++ );( B );Propionibacterium avidum;2.14;Propionibacterium sp[2];2.13;
5fd522e2-057b-473c-b0ed-60c83ce3e904;( ++ );( A );Finegoldia magna;2.09;Finegoldia magna;2.02;
795959e2-365e-4a6f-aeda-87f148d2bc84;( +++ );( A );MIX!Bacteroides fragilis;2.53;Bacteroides fragilis;2.43;
a2bc0617-f01d-48d6-9729-423a739ef0f5;( - );( C );no peaks found;<0;no peaks found;<0;
bb04d339-2254-465d-bb1c-23278faf5ebe;( +++ );( B );Streptococcus constellatus;2.3;Streptococcus constellatus;2.23;
ccff6c31-db15-4078-b94e-39b3a8356297;( - );( C );not reliable identification;1.46;not reliable identification;1.37;
d4b203b0-04d7-4c0d-80d6-d3475ea232ae;( +++ );( A );Bacteroides fragilis;2.45;Bacteroides fragilis;2.42;
d60553f2-4733-41b6-a9ed-c4c2c7306a88;( - );( C );no peaks found;<0;no peaks found;<0;
d93d4dc4-a671-4abc-b780-99d567d3f8df;( - );( C );no peaks found;<0;no peaks found;<0;
dff5af88-f54f-41fa-97b2-1d972b4b26cc;( +++ );( A );Actinobaculum massiliense;2.48;not reliable identification;1.29;
e94d56d2-1d7e-4749-b5dd-952090ceee1f;( ++ );( A );Finegoldia magna;2.2;Finegoldia magna;2.09;
05b717c3-5afd-4693-a518-e24a120bf158;( +++ );( A );Escherichia coli;2.42;Escherichia coli;2.39;
08f574cd-aa5d-46b4-867d-3b1e739ebdce;( + );( B );Staphylococcus epidermidis;1.99;Staphylococcus epidermidis;1.89;
0c24561d-a872-4ef1-9348-cf8a23e310eb;( + );( B );Staphylococcus epidermidis;1.9;Staphylococcus epidermidis;1.88;
0dacfd9a-78f2-4321-95fa-56e44eaab710;( +++ );( A );Escherichia coli;2.34;Escherichia coli;2.3;
3b2c958a-8edd-48c5-8245-1e96d484d966;( +++ );( A );Klebsiella variicola;2.52;Klebsiella variicola;2.44;
415e9819-43ec-4fd0-8cc7-09e638c6073e;( ++ );( A );Candida albicans;2.04;Candida albicans;2.01;
4762482a-6ceb-4998-a95c-abcca4a5678d;( ++ );( B );Citrobacter youngae;2.24;Citrobacter freundii;2.2;
49b88278-cbc4-4040-b4cd-8f1be0ea9012;( +++ );( A );MIX!Klebsiella pneumoniae;2.61;Klebsiella pneumoniae;2.35;
69c91f65-8182-4ec5-9841-32cd7c4c6bd2;( +++ );( A );Actinotignum schaalii;2.3;Actinotignum schaalii;2.17;
74b2efbe-febb-463c-aa38-5ee68611f56a;( +++ );( A );Enterococcus faecium;2.52;Enterococcus faecium;2.34;
75ff5ff0-fed5-44e9-a08a-f5b109a55439;( +++ );( A );Lactobacillus delbrueckii;2.31;Lactobacillus delbrueckii;2.24;
848b9119-2b77-4890-b783-4f774fa63742;( +++ );( A );Streptococcus agalactiae;2.39;Streptococcus agalactiae;2.31;
b3a3102c-1c84-41b2-8661-83dfae246680;( + );( B );Candida tropicalis;1.76;not reliable identification;1.67;
df70d265-f443-4928-82b8-4e5ab87ea0db;( +++ );( A );Enterococcus faecalis;2.51;Enterococcus faecalis;2.45;
